accomplish,"vt.完成,达到,实现"
delete,vt.删除
insert,"vt.插入,嵌入n.插入物"
sweat,n.汗v.(使)出汗
rub,"v.擦,摩擦 rt. (～ along) 和谐相处,(～ off) 擦掉,擦破,(～ out) 把(记号,笔记,笔迹等)擦掉"
wrinkle,n.皱纹v.使皱
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
sniff,"v.用力吸,嗅,闻到,发觉,轻视,用力吸气n.吸,闻,吸气声,嗤之以鼻"
yawn,"v.打呵欠,张开,裂开n.呵欠"
toddle,"vi.东倒西歪地走,蹒跚学步,散步vt.蹒跚(或信步)走路n.东倒西歪的走路,刚学走步的小孩"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
blink,"v.眨眼,闪亮,无视"
brink,n.(峭岸、崖的)边缘
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
fume,"n.(浓烈或难闻的)烟,气体,一阵愤怒(或不安)v.用烟熏,冒烟,发怒"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
gild,v.镀金
glint,n.闪烁
glisten,v.闪光
dazzle,"v.(使)眼花,眩耀n.耀眼"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
lubricate,vt.润滑v.加润滑油
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
weld,"vt.焊接n.焊接,焊缝"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
browse,"v.n.浏览,吃草,放牧"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
roast,"v.烤,烘,烘烤,暴露于某种热力下以得温暖"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
perch,"n.栖木,人所居的高位,有利的地位,杆,河鲈v.(使)栖息,就位,位于"
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
haunt,v.神鬼出没
segment,"n.段,节,片断v.分割"
batch,"n.(面包等)一炉,一批,批处理"
cluster,"n.串,丛;vi.丛生,成群"
reap,"v.收割,收获"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
starve,vt.使饿死vi.饿得要死
wither,"vt.使凋谢,使消亡,使畏缩vi.枯萎,衰退,感到羞愧"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
serene,adj.平静的
tranquil,adj.安静的
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
terminate,"v.停止,结束,终止"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
realm,n.领域
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
notable,"adj.值得注意的,显著的,著名的"
layman,n.外行
outset,"n.开端,开始"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
tribe,"n.部落,部族"
terrific,adj.令人恐怖的
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
agreeable,"adj.使人愉快的,惬意的,适合的"
inscribe,v.记下
prelude,"n.先驱,前奏,序幕"
scribble,"n.潦草的写法,潦草写成的东西,杂文v.潦草地写,乱写,滥写"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
illegible,"adj.难辨认的,字迹模糊的"
kindle,"vt.点燃,使着火,引起,照亮vi.着火,煽动,激起,发亮"
shrewd,adj.精明
sneer,"v.冷笑,讥笑,嘲笑n.冷笑,嘲笑"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
solidarity,n.团结
consolidate,v.巩固
procession,"n.行列,队伍"
persevere,v.坚持
assert,"v.断言,声称"
poise,"n.平衡,均衡,姿势,镇静,砝码vt.使平衡,使悬着,保持...姿势vi.平衡,悬着,准备好,犹豫"
elastic,adj.弹性的
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
curl,v.(使)卷曲
coil,"v.盘绕,卷"
string,"n.线,细绳,一串,一行v.排成一列"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
bully,"n.欺凌弱小者vt.威吓,威逼"
shriek,"v.尖声叫喊,耸人听闻地报道,尖声喊叫n.尖叫,尖声,尖声喊叫"
blockade,n.阻塞vt.封锁
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
stump,"n.树桩,残余,烟头v.掘去树桩,砍成树桩,绊倒,难住,截去"
stake,n.树桩
induce,"vt.劝诱,促使,导致,引起,感应"
brew,"v.酿造,酝酿"
avenge,"vt.为...报复,报仇"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
draught,"n.拖,拉,一网(鱼),气流"
sly,adj.狡猾的
disguise,"v.假装,伪装,掩饰n.伪装"
friction,"n.摩擦,摩擦力"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
besiege,"vt.围困,围攻,包围,"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
outlet,"n.出口,出路"
vent,"n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄"
conscience,"n.良心,道德心"
conscientious,adj.尽责的
diligent,"adj.勤勉的,用功的,细心而继续不断的"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
denounce,"vt.公开指责,公然抨击,谴责"
raid,"n.袭击,搜捕;v.奇袭,搜捕;Redundant Array of Indepnedent Disks,独立磁盘阵列"
ravage,"n.破坏,蹂躏,劫掠后的痕迹,创伤v.毁坏,掠夺"
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
revolt,"v.反抗,起义,反叛,反感,厌恶"
revolve,"v.(使)旋转,考虑,循环出现"
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
rotate,v.(使)旋转 /v.旋转/翻转
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
deploy,"v.展开,配置"
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
decode,"vt.解码,译解"
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
clamp,"n.夹子,夹具,夹钳vt.夹住,夹紧"
banner,"n.旗帜,横幅,标语"
slogan,"n.口号,标语"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
renounce,v.断绝关系
retreat,"vi.撤退,退却n.撤退,退却"
discord,"n.不一致,意见不合,嘈杂声,[音乐] 不和谐v.不和"
prolong,"vt.延长,拖延"
sane,adj.健全的
sober,adj.冷静的v.镇定
weep,"n.哭,哭泣,滴下vi.哭泣,流泪,哀悼,滴落vt.哭着使...,悲叹,滴下"
soothe,"vt.使(某人,其神经,其情绪)平静,安慰,使(痛苦,疼痛)缓和或减轻"
choke,"v.窒息,哽住,使呼吸困难,阻塞n.窒息,阻气门"
stifle,"vt.使窒息,抑制vi.窒息,闷死"
whereby,"adv.凭什么,为何"
chorus,"n.合唱,合唱队,齐声"
enchant,"vt.施魔法,使迷惑"
solo,n.独奏曲adj.单独的
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
commence,"v.开始,着手"
steer,"v.驾驶,掌舵"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
pave,
drizzle,n.细雨v.下毛毛雨
moist,adj.潮湿的n.潮湿
humid,"adj.充满潮湿的,湿润的,多湿气的"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
dissolve,"v.溶解,解散"
distil,"v.蒸馏,提取....的精华"
distill,"vt.蒸馏,提取vi.滴下"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
soak,"v.浸,泡,浸透n.浸透"
saturate,"v.使饱和,浸透,使充满"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
commend,"vt.称赞,表扬,推荐,委托,吸引"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
sin,"n.[俗] 违背习俗,不合情理之事,过失,罪过,[数学] 正弦函数"
gross,"adj.总的,毛重的n.总额"
discount,n.折扣
repay,"v.偿还,报答,报复"
confiscate,"vt.没收,充公,查抄,征用adj.被没收的"
offset,"n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷vi.偏移,形成分支"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
swindle,v.诈骗n.诈骗
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
greed,"n.贪欲,贪婪"
swell,"v.(使)膨胀,增大"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
congregate,v.聚集
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝"
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
stutter,"n.口吃,结结巴巴v.口吃着说"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
chatter,"n.(动物,尤其是鸟类)唠叨,啁啾声,(小溪的)潺潺流水声vi.喋喋不休的谈,卡搭作响"
commonplace,"n.平凡的事,平常话adj.平凡的"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
vaccinate,v.进行预防接种n.被接种牛痘者
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
sow,"n.大母猪vt.播种,散布,使密布vi.播种"
sprout,v.萌芽n.苗芽
stern,"adj.严厉的,苛刻的n.船尾"
grim,adj.严酷的
salute,"n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼v.行礼致敬,敬礼"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
regime,"n.政体,政权,政权制度"
saddle,"n.鞍,鞍状物v.承受"
topple,v.倾倒
uproot,"vt.连根拔起,根除"
simplify,"vt.单一化,简单化"
disposition,n.部署
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
auction,n.拍卖vt.拍卖
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
subsidy,"n.补助金,津贴"
subsidiary,"adj.辅助的,补充的"
stack,"n.堆,一堆,堆栈v.堆叠"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
exempt,v.免除adj.被免除的
charter,"vt.租,包(船、车等)n.宪章"
enact,"vt.制定法律,颁布,扮演"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
doctrine,"n.教条,学说"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
allege,"vt.宣称,断言"
denote,"vt.指示,表示"
cue,"n.暗示,提示,球杆"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
host,"n.主机,主人,旅馆招待vt.当主人招待"
affirm,"v.断言,确认,肯定"
incentive,n.动机adj.激励的
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
levy,"n.征收,征税,征兵v.征收,征集,征用"
lever,"n.杆,杠杆,控制杆v.抬起"
tow,"n.拖,拖曳所用之绳,麻的粗纤维vt.拖,曳,牵引vi.拖行,被拖带"
drag,"v.拖,拖曳,缓慢而费力地行动n.拖拉"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
angle,"n.[数]角,角落vi.钓鱼,追逐"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
fuse,"n.保险丝,熔丝v.熔合"
toss,"v.投,掷"
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
gulp,"vt.吞,一口吞(下),忍住,抑制vi.吞咽n.吞咽"
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
elbow,n.肘
inhale,vt.吸入vi.吸气
exhale,"v.呼气,发出,发散,<古>使蒸发"
heave,v.举起n.举起
sigh,"n.叹息,叹息声vi.叹息,叹气"
recollect,"v.回忆,想起,记起,忆起,记得"
scar,"n.伤痕,疤痕v.结疤,使留下伤痕,创伤"
elapse,"vi.(时间)过去,消逝v.流逝"
recede,v.后退
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
ebb,"n.退,弱,退潮,衰落vi.潮退,衰退"
bestow,"vt.给予,安放"
temperate,"adj.有节制的,适度的,戒酒的,(气候)温和的"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
clutch,"v.抓住,攫住n.离合器"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
bang,"n.重击,突然巨响v.发巨响,重击"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
batter,"n.击球手v.打坏,猛击"
battery,"n.电池,殴打"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
roar,"n.吼叫,怒号vi.吼叫,怒号v.滚动,咆哮"
pump,"n.泵,抽水机vt.(用泵)抽(水),抽吸"
gnaw,"v.咬,啃,啮,使苦恼,消耗,折磨,侵蚀"
growl,"v.咆哮,发牢骚地说n.咆哮声,怨言"
click,v.发出滴答声n.滴答声
dye,"n.染料,染色vt.染v.染"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
compute,"v.计算,估计,用计算机计算(或确定)"
automate,"v.使自动化,自动操作"
plausible,adj.似是而非的
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
symmetry,"n.对称,匀称"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
narrate,"v.叙述,讲述,作解说,讲故事"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
ample,"adj.充足的,丰富的"
amplify,"vt.放大,增强v.扩大"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
monument,n.纪念碑
mourn,"v.哀悼,忧伤,服丧"
miserable,"adj.痛苦的,悲惨的,可怜"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
zeal,"n.热心,热情,热诚"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
inject,"vt.注射,注入"
qualitative,"adj.性质上的,定性的"
quantify,vt.确定数量v.量化
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
mold,"n.模子,铸型vt.浇铸,塑造"
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
input,n.输入v.输入
phase,"n.阶段,状态,相,相位v.定相"
sector,"n.部分,部门,[计]扇区,地区,象限,扇形v.使分成部分,把...分成扇形"
section,"n.部分,断片,部件,节,项,区,地域,截面"
sway,"v.摇摆,摇动"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
lunar,"adj.月的,月亮的"
spiral,adj.螺旋形的n.螺旋v.盘旋
nuisance,"n.讨厌的人或东西,麻烦事,损害"
nonsense,"n.胡说,废话"
practicable,"adj.能实行的,行得通的,可以实行的"
core,"n.果核,中心,核心"
flesh,"n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体vt.以肉喂(猎犬等),使肥,赋以血肉vi.长胖"
grin,"n.露齿笑,裂口笑v.露齿而笑"
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
suck,"v.吸,吮,吸取"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
grateful,"adj.感激的,感谢的"
gratitude,n.感谢的心情
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
forthcoming,adj.即将来临的n.来临
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
amid, prep.在...中
quest,n.寻求
commune,"n.公社vi.密切联系,谈心"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
slippery,"adj.滑的,光滑的"
temperament,"n.气质,性情,易激动,急躁"
stationary, 固定的
stationery,"n.文具,信纸"
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
swear,"vi.诅咒v.宣誓,发誓"
vow,"n.誓约v.宣誓,立誓,发誓"
oath,"n.誓言,宣誓,诅咒"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
auxiliary,"adj.辅助的,补助的"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
bald,"adj.光秃的,单调的,枯燥的"
scant,"adj.缺乏的,不足的,将近的,欠缺的v.限制,节省,减少"
paddle,"n.短桨,划桨,明轮翼vi.划桨,戏水,涉水vt.用桨划,搅,拌"
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
pedal,n.踏板v.踩...的踏板
persecute,v.迫害
consecutive,"adj.连续的,联贯的"
envisage,v.正视
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
abolish,"vt.废止,废除(法律、制度、习俗等)"
tangle,n.混乱状态v.处于混乱状态
detriment,"n.损害,损害物"
format,"n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)"
grind,"v.磨(碎),碾(碎),折磨"
desolate,"adj.荒凉的,无人烟的"
prick,"vt.刺,戳,刺痛,竖起vi.刺,竖起n.扎,一刺,刺痛,锥,阴茎adj.竖起的"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
overlap,v.(与...)交迭
intersect,"vt.横断vi.(直线)相交,交叉"
interval,"n.间隔,距离,幕间休息n.时间间隔"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hustle,"n.急速活动,挤,推,拥挤喧嚷vt.驱赶,驱逐,乱挤,硬逼(某人)买或做事,强夺vi.硬挤过去"
toil,"n.辛苦,苦工,网,罗网,圈套vi.苦干,跋涉,费力地做"
torment,n.痛苦v.折磨
thwart,"adj.横放的vt.反对,阻碍,横过adv.prep.横过n.[船]横坐板"
deter,v.阻止
demolish,"vt.毁坏,破坏,推翻,粉碎"
absolve,v.宣布免除
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
bail,"n.保释,保证金,保证人v.保释,舀水"
abridge,"v.删节,削减,精简"
surmount,"vt.战胜,超越,克服,在...顶上"
harry,"v.掠夺,折磨"
ferment,"n.酵素,发酵,动乱v.(使)发酵,(使)激动,(使)动乱"
intercept,"vt.中途阻止,截取"
tangible,adj.切实的
scorch,"v.烧焦,枯萎n.烧焦,焦痕,枯黄"
grill,"n.烤架,铁格子,烤肉v.烧,烤,严加盘问"
hitch,"n.猛拉,急推,蹒跚,故障vt.猛拉,系住,拴,钩住,套住vi.蹒跚,被钩住"
hitchhike,vi.搭便车vt.要求(搭便车)
hush,v.安静n.安静
muffle,"v.包,蒙住,压抑(声音)n.围巾,头巾,消声器"
shudder,"n.vi.战栗,发抖"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
buoy,"n.(湖,河等中的)浮标,浮筒,救生圈vt.使浮起,支撑,鼓励"
daze,"vt.使茫然,发昏,使晕眩n.迷惑,眼花缭乱"
slam,"v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击"
lumber,"n.<美>木材,无用的杂物(如破旧家俱),废物,隆隆声vt.砍伐木材,乱堆vi.伐木,喧闹地向前走,笨重地行动"
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
pluck,"n.勇气v.拔去(鸡、鸭等)毛,采集"
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
puff,"n.一阵喷烟,肿块,蓬松,吹嘘,宣传广告v.喷出,张开,夸张,(使)膨胀,(使)骄傲,喘息,鼓吹,吹捧"
thaw,n.解冻
ripple,n.波纹v.起波纹
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
moor,"n.沼地,荒野v.停泊,固定,系住"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
gorge,"n.咽喉,胃,暴食,山峡,峡谷,障碍物v.狼吞虎咽,塞饱"
revivify,"v.(使)再生,(使)复活,(使)振奋精神"
revitalize,v.新生
straighten,"v.(使)弄直,伸直"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
chronicle,n.编年史v.编入编年史
sarcastic,adj.讽刺的
satire,"n.讽刺文学,讽刺"
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
embargo,"n.禁止出入港口,禁运vt.禁止(船只)出入港口,禁运"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
annul,"v.废除,取消,废止"
legacy,"n.遗赠(物),遗产(祖先传下来)"
overrule,"vt.驳回,否决,支配,制服"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
flake,"n.薄片v.使成薄片,剥落,雪片般落下"
mint,"n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)"
prune,v.剪除
sour,"adj.酸的,发酵的,酸腐的,酸味的"
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏"
