progress,"n.前进,进步,发展vi.前进,进步,进行"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
orchestra,"n.管弦乐队,乐队演奏处"
melody,n.悦耳的音调
jungle,"n.丛林,生死关头"
tropic,"n.[天](天球的)回归线,热带adj.热带的"
equator,"n.赤道,赤道似的圈.圆"
germ,"n.微生物,细菌"
bacterium,n.细菌
datum,"n.数据,资料"
oven,"n.烤箱,烤炉,灶"
fireplace,n.壁炉
stove,n.炉
feather,"n.翎毛,轻的东西,羽毛vi.长羽毛vt.用羽毛装饰,射掉(飞禽)的羽毛"
leather,"n.皮革,皮革制品"
furnace,"n.炉子,熔炉"
furniture,"n.家具,设备,储藏物"
furnish,"vt.供应,提供,装备,布置v.供给"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
element,"n.要素,元素,成分,元件,自然环境"
sulfur,"n.[化] 硫磺,硫黄vt.用硫磺处理"
oxide,n.[化]氧化物
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
hydrogen,n.氢
hydrocarbon,"n.烃,碳氢化合物"
hydrate,n.氢氧化物v.与水化合
nitrogen,n.[化]氮
aluminum,n.[化]铝
sodium,n.[化] 钠
uranium,n.铀
alloy,"n.合金vt.使成合金,减低成色"
silicon,"n.[化]硅,硅元素"
zinc,n.锌vt.涂锌于
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的"
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
metal,n.金属
gold,"n.黄金,金币adj.金的,金制的"
silver,"n.银,银子vt.镀银"
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索"
bomb,"n.炸弹vt.投弹于,轰炸"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
thumb,"n.拇指vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势vi.用拇指翻书页"
thrash,"vt.打(谷),(用棍、鞭等)痛打,打败,使逆行,胜过,使颠簸,推敲vi.打谷,击,颠簸,逆行n.打谷,逆风浪行进"
thresh,"vt.脱粒,反复的打击,翻滚,反复做,推敲vi.打谷,打,颠簸"
threshold,"n.开始,开端,极限"
thrifty,adj.节约的
tomb,n.坟墓v.埋葬
coffin,n.棺材
atom,n.原子
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
molecule,"n.[化]分子,些微"
electricity,"n.电流,电,电学"
electron,n.电子
electrician,"n.电工,电学家"
rust,n.铁锈vt.(使)生锈
university,n.(综合)大学
universe,"n.宇宙,世界,万物,领域"
anniversary,n.周年纪念
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
ceremony,"n.典礼,仪式,礼节,报幕员"
harmony,"n.协调,融洽"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
diverse,"adj.不同的,变化多的"
version,"n.译文,译本,翻译"
diversion,"n.转移,转换,牵制,解闷,娱乐"
divert,"v.转移,转向,使高兴"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
avoid,"vt.避免,消除"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
inverse,"adj.倒转的,反转的n.反面v.倒转"
delegate,n.代表vt.委派...为代表
ambassador,n.大使
legal,"adj.法律的,法定的,合法"
outlaw,"n.歹徒,逃犯,丧失公权者v.将...放逐,宣布...为不合法"
legislate,vi.制定法律vt.通过立法
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
judge,
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
pantry,"n.餐具室,食品室"
client,"n.[计]顾客,客户,委托人,客户机程序"
code,"n.代码,代号,密码,编码v.编码"
plea,"n.恳求,请求,辩解,藉口"
summon,"v.召集,召唤,号召,鼓起,振作"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
replace,"vt.取代,替换,代替,把...放回原处"
superstition,n.迷信
stitch,"v.缝,缝合n.一针,针脚,缝针"
knit,"v.编织,密接,结合"
weave,"n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物"
seam,"n.接缝,线缝,缝合线,衔接口,伤疤,层vt.缝合,接合,焊合,使留下伤痕vi.裂开,发生裂痕"
sew,"v.缝制,缝纫,缝合"
nylon,n.尼龙
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
linear,"adj.线的,直线的,线性的"
lining,"n.加衬里,内层,衬套"
fiber,n.=fibre 光纤
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
prick,"vt.刺,戳,刺痛,竖起vi.刺,竖起n.扎,一刺,刺痛,锥,阴茎adj.竖起的"
fabric,"n.织品,织物,布,结构,建筑物,构造"
blouse,"n.宽松的上衣,似衬衫的上衣"
pajama,n.=pajamas
underwear,n.内衣裤
overcoat,n.外套大衣
skirt,n.裙子v.环绕
suit,"v.合适,适合,相配,合式,适宜于n.一套衣服"
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合"
garment,"n.衣服,外衣,外表"
gown,"n.长袍,法衣,礼服,睡袍"
robe,"n.长袍,罩衣,礼服,制服"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
cabin,"n.小屋,船舱"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
leaflet,"n.小叶,传单"
pamphlet,n.小册子
bulletin,"n.公告,报告"
puppet,"n.傀儡,木偶"
rocket,n.火箭v.飞速上升
pocket,"n.衣袋,口袋,钱,财vt.装...在口袋里,隐藏(感情),据为己有,击...入袋adj.袖珍的,小型的"
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
pail,"n.桶,提桶"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
firework,
cricket,"n.[昆]蟋蟀,[运动]板球"
locust,"n.[动]蝗虫,蚱蜢,蝉"
velvet,"n.天鹅绒,柔软,光滑adj.天鹅绒的,柔软的,光滑的"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
wave,"n.波,波浪,(挥手)示意,致意vi.(挥手)示意,致意,波动,飘动,摇动"
dive,"vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲"
pave,
avenue,"n.林荫道,大街,方法,途径,路"
revenue,"n.收入,国家的收入,税收"
veil,"n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托vt.戴面纱,隐藏,遮蔽,掩饰vi.蒙上面纱"
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷"
cavity,"n.洞,空穴,[解剖]腔"
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
starve,vt.使饿死vi.饿得要死
contrive,"v.发明,设计,图谋"
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
hover,v.盘旋
velocity,"n.速度,速率,迅速,周转率"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
carve,"v.雕刻,切开"
vessel,"n.船,容器,器皿,脉管,导管"
sleeve,n.袖子
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
slave,n.奴隶v.辛勤努力
strive,"v.努力,奋斗,力争,斗争"
heave,v.举起n.举起
shave,"v.剃,刮,削刮vt.刨,削n.刮脸"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
fever,"n.发烧,发热,热病,狂热,高度兴奋v.(使)发烧,(使)患热病,(使)狂热"
passive,adj.被动的
verge,v.濒临n.边缘
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
gravel,"n.砂砾,砂砾层"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
versus," prep.对(指诉讼,比赛等中),与...相对"
retrieve,v.重新得到n.找回
solve,"vt.解决,解答"
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
souvenir,n.纪念品
vest,"n.汗衫,背心,内衣vt.使穿衣服,授予vi.穿衣服,归属"
invest,"v.投(资),购买(有用之物)～,授予,投资"
investigate,"v.调查,研究"
harvest,"n.收获,收成,结果,成果v.收获,收割"
glove,n.手套vt.戴手套
scar,"n.伤痕,疤痕v.结疤,使留下伤痕,创伤"
scarlet,"n.猩红色,鲜红色布adj.猩红的,鲜红的,深红的"
scarf,"n.围巾,头巾领巾,嵌接,嵌接处,切口v.围(围巾),披(头巾)嵌接"
jewel,n.宝石
lace,"n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子"
necklace,n.项链
ribbon,"n.缎带,丝带,带,带状物,带子"
rib,
button,"n.钮扣,[计]按钮v.扣住,扣紧"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
stocking,n.长袜
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
storey,n.[建] 层
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
collar,
jeans,"n.斜纹布裤,牛仔裤"
jelly,"n.果子冻,一种果冻甜品"
jerk,"n.性情古怪的人,急推,猛拉,肌肉抽搐,(生理)反射,牛肉干vi.痉挛,急拉,颠簸地行进vt.猛拉"
Jesus,
jingle,"n.叮当声v.(使)作叮当声,(使)押韵"
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
trot,"v.(使)小跑,(使)快步走,骑马小跑,疾走n.小跑,骑马,疾走,忙碌"
Jupiter,
kidnap,"vt.诱拐(小孩),绑架,勒赎"
kilowatt,n.[物]千瓦(功率单位)
kindle,"vt.点燃,使着火,引起,照亮vi.着火,煽动,激起,发亮"
kinetic,"adj.(运)动的,动力(学)的"
knight,"n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位"
pant,v.气喘n.气喘
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会"
rag,"n.抹布,碎屑,石板瓦,破旧衣服,少量vt.揶揄,戏弄,欺负vi.喧闹"
camp,"n.露营地,阵营vi.露营,扎营"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
headmaster,"n.英国中小学校长,男舍监"
preside,v.主持
bachelor,"n.单身汉,文理学士,幼雄兽"
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数"
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
diplomatic,"adj.外交的,老练的"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
architecture,"n.建筑,建筑学 体系机构"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
vault,n.拱顶
monarch,n.君主
march,"n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)"
detect,"vt.察觉,发觉,侦查,探测v.发现"
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
anthropology,n.人类学
ecology,"n.生态学,[社会]环境适应学,均衡系统"
geology,"n.地质学,地质概况"
sociology,n.社会学
psychology,"n.心理学,心理状态"
physiology,n.生理学
policy,"n.政策,方针"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
figure,
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
innumerable,"adj.无数的,数不清的"
amount,"n.数量vi.(to) 总计,等于"
dimension,"n.尺寸,尺度,维(数),度(数),元"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
arithmetic,"n.算术,算法"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
reckless,adj.不计后果的
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
censor,"n.检查员vt.检查,审查"
challenge,n.挑战vt.向...挑战
champagne,"n.香槟酒,香槟色"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
charcoal,n.木炭
chatter,"n.(动物,尤其是鸟类)唠叨,啁啾声,(小溪的)潺潺流水声vi.喋喋不休的谈,卡搭作响"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
deck,"n.甲板,舰板,覆盖物,一副(纸牌)vt.装饰,修饰,打扮,装甲板"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
pier,"n.码头,(桥)墩"
wharf,"n.码头vt.卸上码头,靠在码头vi.靠码头"
pious,"adj.虔诚的,尽责的"
peck,"n.啄痕,许多,配克(容量单位,等于2加仑)vt.啄食,扔vi.啄,吹毛求疵,啄食,扔石头v.<口>吃一点点"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
suck,"v.吸,吮,吸取"
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声"
ticket,"n.票,入场券"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的"
tack,"n.大头钉,粗缝,行动方针,食物vt.以大头针钉住,附加vi.抢风航行,作文字形移动"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
nickel,"n.[化]镍,镍币,(美国和加拿大的)五分镍币vt.镀镍于"
nickname,"n.诨号,绰号,昵称vt.给...取绰号,给...起浑名"
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳"
lipstick,"n.<美> 口红,唇膏"
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
intermediate,adj.中间的n.媒介
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
retard,"vt.延迟,使减速,阻止,妨碍,阻碍"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
deputy,"n.代理人,代表"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
vicinity,"n.邻近,附近,接近"
wise,"adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式"
clockwise,adj.顺时针方向的adv.顺时针方向地
otherwise,"adv.另外,否则,不同地,别的方式adj.另外的,其他方面的"
likewise,"adv.同样地,照样地,又,也n.同样地"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
detach,"vt.分开,分离,分遣,派遣(军队)"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
relate,"vt.叙述,讲,使联系,发生关系"
narrative,adj.叙述性的n.叙述
correlate,vt.使相互关联vi.和...相关
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的"
relevant,"adj.有关的,相应的"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
junction,"n.连接,接合,交叉点,汇合处"
context,"n.上下文,文章的前后关系"
textile,n.纺织品adj.纺织的
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
term,"n.学期,期限,期间,条款,条件,术语"
terminate,"v.停止,结束,终止"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
corridor,n.走廊
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
cafeteria,n.自助餐厅
hotel,"n.旅馆,客栈,<俚>监狱"
audience,"n.听众,观众,接见,拜见"
aural,adj.听觉的
audio,"adj.音频的,声频的,声音的"
symposium,"n.讨论会,座谈会"
workshop,"n.车间,工场"
sympathy,"n.同情,同情心"
symphony,"n.交响乐,交响曲"
symbol,"n.符号,记号,象征"
symmetry,"n.对称,匀称"
geometry,n.几何学
symptom,"n.[医][植]症状,征兆"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
tend,"vi.趋向,往往是vt.照管,护理"
tender,"adj.嫩的,温柔的,软弱的"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
attendant,n.服务员
tendency,"n.趋向,倾向"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
tent,n.帐篷
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
intention,"n.意图,目的"
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
tensile,"adj.可拉长的,可伸长的,[物]张力的,拉力的"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
tenant,"n.承租人,房客,租客v.出租"
contend,"v.斗争,竞争,主张"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
dialect,"n.方言,语调"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
collective,adj.集体的n.集体
recollect,"v.回忆,想起,记起,忆起,记得"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
negligible,"adj.可以忽略的,不予重视的"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
ignorant,adj.无知的
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
ignite,"v.点火,点燃"
lighter,"n.点火者,打火机,驳船v.驳运"
opt,vi.选择
optical,"adj.眼的,视力的,光学的"
optimum,n.最适宜adj.最适宜的
optimism,"n.乐观,乐观主义"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
compassion,"n.同情,怜悯"
mercy,"n.仁慈,宽恕,怜悯"
straightforward, dly//adv.正直地
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
panic,"n.惊慌,恐慌,没有理由的"
pale,"n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围"
bitter,"adj.苦的,痛苦的,怀恨的"
misery,
suspicious,"adj.(～ of) 可疑的,怀疑的"
specialist,"n.专门医师,专家"
specialty,n.专业
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specimen,"n.范例,标本,样品,样本,待试验物"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
inject,"vt.注射,注入"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
jet,"n.喷射,黑玉v.喷射adj.黑玉色的,墨黑的 喷气机"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
emit,"vt.发出,放射,吐露,散发,发表,发行"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
admit,"v.容许,承认,接纳"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
omit,"vt.省略,疏忽,遗漏"
mission,"n.使命,任务,使团,代表团"
missile,"n.导弹,发射物"
missionary,"adj.传教的,传教士的n.传教士"
preach,v.鼓吹
sermon,"n.训诫,说教,布道"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
committee,n.委员会
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
devote,"vt.投入于,献身"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
diction,"n.措辞,用语,言语"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
contradict,"vt.同...矛盾,同...抵触"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
controversy,"n.论争,辩论,论战"
absorb,"vt.吸收,吸引"
indulge,v.纵容
immerse,"vt.沉浸,使陷入"
soak,"v.浸,泡,浸透n.浸透"
tub,
tube,"n.管,管子,[英] 地铁,<美> 电子管,显象管"
tuberculosis,n.肺结核
dip,
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌"
dew,"n.露,露水般的东西,清新"
dam,"n.水坝,障碍v.控制,筑坝"
condemn,"vt.判刑,处刑,声讨,谴责"
afraid,"adj.害怕,担心"
fraction,"n.小部分,片断,分数"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
fragile,"adj.易碎的,脆的"
frequent,"adj.时常发生的,频繁的"
fridge,n.电冰箱
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fret,"v.(使)烦恼,(使)焦急,(使)腐蚀,(使)磨损"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
fragrance,"n.芬芳,香气,香味"
fright,"n.惊骇,吃惊"
friction,"n.摩擦,摩擦力"
fragment,"n.碎片,断片,片段"
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
friend,"n.朋友,赞助者,助手"
acknowledge,"vt.承认,答谢,报偿"
accustom,vt.使习惯于
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
vocabulary,"n.词汇,词汇量,词表"
