abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
spin,"spin
[spin]
vt.
纺(纱等)：
使成线；使成纱：
(蜘蛛)结网；(蚕)吐(丝)，做(茧)：
使旋转：
(汽车等在冰上或沙地上使车轮)空转
把(球)扔(或投、踢打)得在空中旋转
= spin-dry
用旋式钓铒钓(鱼)；在…中用旋式铒钓鱼
使(金属)铸模成形
把(玻璃、黄金等)抽拉成丝
[口语]放(唱片)：
编造；撰写：
[美国俚语]欺骗，哄(人)
[英国英语]给…不及格分数
使拖延时间，使多维持时日(out)：
[美国英语]对…做出倾向性解释：
【火箭学】使(火箭、导弹)盘绕飞行
vi.
旋转：
(蜘蛛)结网；(蚕)吐丝，做茧
纺线；纺纱：
疾驰，飞跑：
眩晕：
用旋式饵钓鱼
(车轮)空转
[美国俚语]跳舞
[英国英语]考试不及格
[美国英语]作舆论导向，造假舆论
【火箭学】(火箭、导弹)盘旋飞行
n.
旋转
自转，回转
(用洗衣机等的)脱水
疾驰，飞奔
(车轮的)空转
【商业】(价格等的)暴跌
【航空学】旋冲，螺旋下降
【物理学】旋转动量
情绪低落；惊惶失措
[美国英语]定调，导向，倾向性意见，导向性解释
[口语]放唱片；放唱片的时间
(不真实的)溢美之辞，润色之辞
观点；影响；偏见
[澳大利亚口语]运气
[900年前，1992]
短语:
put a positive (或 negative) spin on
对…作正面(或负面)倾向性解释；对…持积极(或消极等)观点；对…起积极(或消极等)的影响
变形：
vt.
spun或 span
. spun
. spinning"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
torch,"n. 火把, 启发之物
[化] 火炬"
turtle,n. 海龟
victim,"n. 受害人, 牺牲者, 牺牲品
[法] 受害人, 被害人, 遭难者"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
actual,"a. 真实的, 实际的, 现行的
[医] 实际死亡率"
ash,辅酶A
beat,"从事于,做"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
carpenter,n. 木匠
circumstance,"n. 环境, 状况, 事件"
conceive,"vt. 构思, 认为
vi. 怀孕"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
crime,"n. 犯罪, 罪行, 罪恶
[法] 犯罪, 罪, 罪恶"
decorate,v. 装饰
determine,"v. 决定, 决心"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
[计] 除"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
furnish,"vt. 供给, 提供, 装设
[化] 供应; 供给; 配料"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
institution,[网络] 刚刚开始研究中国制度；新制度经济学把制度
journal,"n. 日记, 杂志, 日报
[化] 轴颈"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
loss,"n. 减少；亏损；失败；遗失
n. (Loss)人名；(匈)洛什；(法、德、意)洛斯"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
[计] 比较"
misfortune,"n. 不幸, 灾祸, 坏运气
[法] 不幸事故, 不幸, 灾祸"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
[医] 人格; 个性"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
[计] 端口, 移植"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
puzzle,[网络] 难题
region,"n. 区域, 地带, 地区, 领域, 范围, 区
[计] 区, 区域"
resemble,"vt. 相似, 类似"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
[医] 情感, 情操"
silence,[网络] 汪苏泷
sob,n. 呼吸短促; 畜生
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
swift,"swift
[swift]
adj.
迅速的，快速的，快速进行的
突然发生的；立刻的
敏捷的，反应快的
立即作出的，到来(或作出)得快的；短暂的
机警的；动辄…的(与 to 连用)
adv.
[多用以构成复合词]快，迅速地；敏捷地
n.
【鸟类】雨燕科(Apodidae)鸟类
[亦作 swift moth,ghost moth]【昆虫】蝙蝠蛾[蝙蝠蛾科(Hepialidae)蛾]
【动物】(爬行迅速的)小蜥蜴( = spiny lizard)
【纺织业】
绷架；纱框；箴子
(梳棉机等的)大滚筒；大锡林
变形：
adj.
swifter
. swiftest"
thermometer,"n. 温度计, 体温计
[化] 温度计"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
typical,"a. 典型的, 象征性的
[医] 典型的"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
additional,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的"
aspect,"n. 外观, 方面, 面貌, 方向
[医] 方面, 局面; 外观"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
carve,"v. 雕刻, 切开"
civil,"adj. 公民的；民间的；文职的；有礼貌的；根据民法的
n. (Civil)人名；(土)吉维尔；(法)西维尔"
concern,[网络] 关心；关系
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
critical,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
decrease,"n. 减少, 减少量
v. 减少"
device,"n. 装置, 设计, 策略, 发明物, 设备
[计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
election,n. 选举；当选；选择权；上帝的选拔
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
expedition,"n. 远征, 探险队, 迅速"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
fury,"n. 愤怒, 狂暴, 狂怒的人
[医] 狂乱, 狂暴, 狂怒"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
[医] 压迹, 印模, 印象, 影响"
instruct,"vt. 教, 教育, 命令, 通知
[法] 托办, 指导, 指示"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
lawn,"n. 草地, 草坪, 上等细麻布
[机] 细筛"
lovely,"a. 可爱的, 有趣的"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
mislead,vt. 误导
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
portable,"a. 可携带的, 可搬运的, 可移动的
[计] 可移植的"
procedure,"n. 程序, 过程, 手续
[计] 规程; 过程"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
[计] 寄存器"
resent,vt. 怨恨；愤恨；厌恶
rod,"n. 竿, 笞鞭, 小枝
[化] 棒"
scarcity,"n. 缺乏, 不足, 缺少
[经] 缺乏, 不足"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
[计] 系列"
silly,"a. 愚蠢的, 糊涂的"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
[计] 置换; 替代"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
union,"n. 联盟, 联合, 结合, 工会
[化] 联合; 联管节; 活接头"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
assemble,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
beast,"n. 畜生, 动物, 野兽, 兽性"
bravery,n. 勇敢
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
claim,叫喊
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
[计] 裁剪"
deed,"n. 行为；行动；证书
adv. 〈口〉同“indeed”
v. 〈美〉立契转让(财产)
[网络] 契约；契据；事迹"
devote,"vt. 投入于, 献身"
divorce,[网络] 离婚
elegant,"a. 优雅的, 端庄的, 高雅的"
equator,"n. 赤道
[医] 赤道, 中纬线"
exist,"vi. 存在, 生存, 发生"
federal,"a. 联邦的, 联合的, 同盟的
[法] 联邦的, 联邦制的, 联盟的"
forbid,"vt. 禁止, 不准, 妨碍
[法] 不许, 禁止, 阻止"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
[计] 图库"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
instrument,"n. 工具, 手段, 仪器
[化] 仪器"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
lower,"n. 低辐射; 低辐射膜; 低辐射玻璃
(low-e 的比较级)"
mayor,[地名] 马约河 ( 阿根、秘 )
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
[法] 占领, 占据, 占有"
overall,遍及
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
[计] 修补; 拼凑"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
[计] 短语"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
procession,"n. 队伍, 连续, 列队行进, 涌出"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
reserve,[网络] 再服务
role,"n. 角色, 职责, 任务
[医] 作用, 功用"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
serious,"a. 严肃的, 认真的, 重要的, 严重的
[电] 严重的"
silverware,"un. 银器
[网络] 银器皿；银器材；银餐具"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
[计] 拆分"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
[计] 减"
sword,[网络] 英语常用同义词辨析；熟人就出声
thorough,"a. 十分的, 彻底的"
tradition,"n. 传说, 传统, 交付
[法] 传统, 惯例, 移交"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
cattle,"n. 牛, 家畜
[法] 家畜"
clay,"n. 泥土, 肉体, 黏土
[化] 粘土"
condemn,"vt. 判刑, 责备, 谴责
[法] 定罪, 判刑, 宣告有罪"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
differ,"vi. 不一致, 不同
[机] 差异, 不同"
doll,"n. 洋娃娃, 无头脑的美丽女人"
elementary,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的"
equip,"vt. 装备, 配备
[机] 设备, 装置"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
[计] 送纸"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
[计] 人工转移; 强制"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
hind,"n. 雌鹿
a. 后部的, 在后的"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
jury,"n. 陪审团, 评判委员会
a. 应急的"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
meantime," 平时, 平均时"
mixture,"n. 混合, 混淆, 混合物
[化] 混合物"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
[计] 探针"
occur,"vi. 发生, 被想到, 存在"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
path,n. 道路；小路；轨道
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
positive,"a. 肯定的, 积极的, 有把握的
[医] 正的, 阳性的"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
[法] 宣布, 宣告, 公布"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
reside,"vt. 住，居住；属于
n. (Reside)人名；(英)雷赛德"
rooster,"n. 公鸡, 栖息的鸟
[机] 炉篦"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
servant,"n. 仆人, 有用物, 公务员, 雇员
[法] 受雇人, 服务者, 公务员"
similarity,"n. 类似, 类似处
[法] 类似, 相似, 类似事例"
solemn,"a. 严肃的, 郑重的, 庄严的"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
subway,"n. 地铁, 地道
vi. 乘地铁"
syllable,"n. 音节
vt. 分成音节
[计] 字节"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
[计] 线索, 线程"
trademark,[机] 商标
university,[网络] 大学
vocabulary,"n. 词汇(量), 词汇表
[计] 词表"
wilderness,"n. 荒野, 荒地, 大量"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
assure,"vt. 保证, 使确信, 弄清楚, 担保
[法] 确信, 保证, 保障"
biology,"n. 生物学
[化] 生物; 生物学"
brilliant,"a. 光辉的, 灿烂的, 有才气的
[机] 亮的"
cause,"n. 原因；事业；病因；理由
v. 导致；使；引起；产生"
colony,"n. 殖民地, 移民队
[医] 菌(集)落, 菌丛; 移民区"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
cruel,"a. 残酷的, 令人极痛苦的
[法] 残忍的, 残酷的"
defect,"n. 缺点
[医] 缺损, 缺陷"
differentiate,"v. 区别, 区分"
domestic,"a. 家庭的, 国内的, 驯养的
[医] 家庭的, 家用的"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
error,"n. 错误, 过失, 失误, 误差
[计] 错误"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
formation,"n. 形成, 构造, 编队
[医] 形成, 结构"
garment,"n. 衣服, 衣装, 外表"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
intelligent,"a. 聪明的, 智能的, 了解的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
[计] 负数, 负值"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物
n. (Odd)人名；(英、西、挪、瑞典)奥德"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
patience,"n. 耐性, 忍耐"
physician,"n. 医师, 内科医师, 解除痛苦者
[医] 主治医师"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
[法] 持有, 占有, 具有"
profession,"n. 职业, 表白, 声明
[化] 工种; 职业"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
resign,"v. 重新签署
[网络] 续签；再签名；再签署"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
[经] 腐烂的, 堕落的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
sin,"n. 罪恶；罪孽；过失
vi. 犯罪；犯过失
vt. 犯罪
n. (Sin)人名；(罗)西恩；(匈)欣；(柬、阿拉伯)辛；(缅)信"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
[计] 原色"
spokesman,n. 发言人；代言人
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
threat,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
[计] 通信量, 传输量"
volcano,n. 火山
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
advantage,"n. 优势；利益；有利条件
vi. 获利
vt. 有利于；使处于优势"
atmosphere,"n. 大气, 空气, 气氛
[医] 大气; 大气压"
broad,二级公路
cautious,"a. 谨慎的, 小心的"
color-blind,无
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
defend,"vt. 防护, 辩护, 防卫
[法] 作...的辩护律师, 辩护, 为...答辩"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
[计] 摘要"
dot,[计] Microsoft Word文档模板
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
[计] 执行程序"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
[计] 取"
fort,[网络] 算机上将…格式化
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
grocery,"n. 食品杂货店, 食品杂货业"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
[化] 倾角"
intend,"vt. 计划, 打算, 意思是
[法] 想要, 打算, 意旨"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
mechanic,"n. 机械工, 技工
a. 手工的"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
owl,[网络] 普通水位；普通巫术等级
pause,[网络] -暂停
pickpocket,[网络] 扒手；偷窃；钱包被扒
pot,[计] Microsoft Powerpoint模块
profit,[网络] 专家型；宝发实业有限公司
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
resist,"vi. 抵抗，抗拒；忍耐
vt. 抵抗；忍耐，忍住
n. [助剂] 抗蚀剂；防染剂"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
scent,爬
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
solution,"n. 解决, 解答, 溶液
[化] 溶液"
