foolishly,"adv.愚笨地,无聊地"
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
security,n.安全
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
unauthorized,"adj.未被授权的,未经认可的"
hacker,电脑黑客
database,"n.[计] 数据库,资料库"
occurrence,"n.发生,出现,事件,发生的事情"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
marketer,n.市场商人
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
privacy,"n.独处而不受干扰,秘密"
media,n.媒体
access,"n.通路,访问,入门vt.存取,接近"
alter,v.改变
dishonest,adj.不诚实的
employer,"n.雇主,老板"
thereby,"adv.因此,从而,在那方面,在那附近"
be obsessed with,
intrinsically,
fuse,"n.保险丝,熔丝v.熔合"
connection,"n.连接,关系,接线,线路,亲戚"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
pervasive,adj.普遍深入的
slice,"n.薄片,切片,一份,部分,片段v.切(片)"
identity,"n.同一性,身份,一致,特性,恒等式"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
unavoidable,"adj.不能避免的,不可避免的,不能取消的"
encode,vt.把(电文.情报等)译成电码(或密码) 编码
gender-neutral,
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
version,"n.译文,译本,翻译"
constancy,"n.不屈不挠,坚定不移,恒久不变的状态或性质"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
nursery,n.托儿所
pastel,"n.彩色蜡笔,彩色蜡笔画adj.彩色蜡笔的,柔和的"
intimation,"n.暗示,正式宣告"
symbolise,v.<主英>=symbolize
femininity,"n.妇女特质,柔弱性,温柔"
amplify,"vt.放大,增强v.扩大"
strategy,"n.策略,军略"
come into one's own,
inherently,"adv.天性地,固有地"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
profoundly,"adv.深深地,衷心地"
perception,"n.理解 感知,感觉 DPS公司出的数字影像压缩卡"
psychological,adj.心理(上)的
toddler,n.初学走路的孩子
phase,"n.阶段,状态,相,相位v.定相"
consumerism,"n.用户至上主义,商品的消费和销售性服务"
popularise,v.<主英> =popularize
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
core,"n.果核,中心,核心"
assume,"vt.假定,设想,采取,呈现"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
publication,"n.出版物,出版,发行,公布,发表"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
sure-fire,
segment,"n.段,节,片断v.分割"
gender,"n.[语法] 性,<口>性别,性,性交"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
evolve,"v.(使)发展,(使)进展,(使)进化"
category,"n.种类,别,[逻]范畴"
boost,v.推进
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
validity,"n.有效性,合法性,正确性"
meaningless,adj.无意义的
award,"n.奖,奖品vt.授予,判给"
discover,"vt.发现,发觉v.发现"
eventually,"adv.最后,终于"
repair,"n.修理,修补vt.修理,修补,补救,纠正"
fortunate,"adj.幸运的,幸福的"
literacy,"n.有文化,有教养,有读写能力"
basic,
pursue,"vt.追赶,追踪,追击,继续,从事"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
dropout,"n.退学学生,中途退学,辍学学生"
equivalency,"n.相等,等价"
cheat,"n.欺骗,骗子v.欺骗,骗取"
reveal,"vt.展现,显示,揭示,暴露"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
charmer,"n.(通常指妇女)魔术师,可爱的人"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
get by,
trump,"n.王牌,法宝,最后大的手段,喇叭vt.打出王牌赢,胜过vi.出王牌,吹喇叭n.<口>好人"
world-class,
talent,"n.天才,才干,才能"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
embarrassment,"n.困窘,阻碍"
academic,"adj.学院的,理论的"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
radical,"adj.根本的,基本的,激进的n.激进分子"
semester,n.学期
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
comment,"n.注释,评论,意见vi.注释,评论"
intelligence,"n.智力,聪明,智能"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
frequently,"adv.常常,频繁地n.经常地"
master,"n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通"
perceive,"vt.察觉v.感知,感到,认识到"
dishonest,adj.不诚实的
sail,"v.航行(于)vi.启航,开船n.帆,篷,航行"
priority,"n.先,前,优先,优先权"
motivate,v.激发
hang on to,
generally,"adv.一般,通常,一般地"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
rise above,
maturity,"n.成热,完备,(票据)到期,成熟"
woo,"v.求爱,追求,恳求,招致"
strive,"v.努力,奋斗,力争,斗争"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
admission,"n.允许进入,承认某事之陈述,供认"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
competitive,adj.竞争的
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
reflect,"v.反射,反映,表现,反省,细想"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
managing director,
organization,"n.组织,机构,团体"
a sea change,
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
nonprofit,"adj.非赢利的,不以赢利为目的的,无利可图的"
successful,adj.成功的
urban,"adj.城市的,市内的"
management,"n.经营,管理,处理,操纵,驾驶,手段"
psychology,"n.心理学,心理状态"
undisclosed,
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
creation,"n.创造,创作物"
architecture,"n.建筑,建筑学 体系机构"
come up with,
banner,"n.旗帜,横幅,标语"
sum,"n.总数,和,金额,算术题"
consultant,"n.顾问,商议者,咨询者"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
identity,"n.同一性,身份,一致,特性,恒等式"
adopt,"vt.采用,收养"
individual,"n.个人,个体adj.个别的,单独的,个人的"
reveal,"vt.展现,显示,揭示,暴露"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
suburban,"adj.郊外的,偏远的"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
significant,"adj.有意义的,重大的,重要的"
alter,v.改变
mostly,"adv.主要地,大部分,通常"
institution,"n.公共机构,协会,制度"
internal,"adj.内在的,国内的"
connection,"n.连接,关系,接线,线路,亲戚"
growth,"n.生长,种植,栽培,发育,等比级数"
eliminate,"vt.排除,消除v.除去"
in addition to,
spokeswoman,"n.女发言人,女代言人"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
acknowledge,"vt.承认,答谢,报偿"
substantial,"adj.坚固的,实质的,真实的,充实的"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
chronicle,n.编年史v.编入编年史
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
charitable,"adj.仁慈的,(为)慈善事业的,宽恕的"
subsidize,"v.资助,津贴"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
advertising,"n.广告业,广告adj.广告的"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
shrug off,
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
inhabit,"vt.居住于,存在于,占据,栖息"
routine,"n.例行公事,常规,日常事务,程序"
stay afloat,
overboard,"adv.自船上落下,在船外"
newsroom,"n.编辑部,阅览室"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
suburb,"n.市郊,郊区"
journalist,"n.新闻记者,从事新闻杂志业的人"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
refuse,"vt.拒绝,谢绝n.废物,垃圾"
balanced,"adj.平稳的,安定的,和谐的"
revenue,"n.收入,国家的收入,税收"
advertiser,"n.登广告者,广告客户"
cooperation,"n.合作,协作"
stable,adj.稳定的
reliance,"n.信任,信心,依靠,依靠的人或物"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
whirlwind,n.旋风
harm,"vt.伤害,损害n.伤害,损害"
distinctive,"adj.与众不同的,有特色的"
savagely,"adv.野蛮地,残酷地"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
concentrate,"v.集中,浓缩"
bureaus,
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
swear,"vi.诅咒v.宣誓,发誓"
intensity,"n.强烈,剧烈,强度 亮度"
semester,n.学期
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
detect,"vt.察觉,发觉,侦查,探测v.发现"
prose,n.散文
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
assignment,"n.分配,委派,任务,(课外)作业"
composition,"n.写作,作文,成分,合成物"
essay,"vt.企图,尝试n.企图,散文,小品文,随笔,短文,评论"
intelligence,"n.智力,聪明,智能"
assume,"vt.假定,设想,采取,呈现"
polished,"adj.擦亮的,磨光的,精练的,优美的,无暇的"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
fingerprint,"n.指纹,手印vt.采指纹"
conditional,"adj.有条件的,引起条件反应的"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
interference,"n.冲突,干涉"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
unpaid,"adj.未付款的,不受报酬的"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
gratitude,n.感谢的心情
fulfill,"vt.履行,实现,完成(计划等)"
exception,"n.除外,例外,反对,异议"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
vocabulary,"n.词汇,词汇量,词表"
borderline,n.边界线
turn in,
thesis,"n.论题,论文"
question,"n.问题,疑问,询问v.询问,审问,怀疑"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
confront sb. with sth.,
identical,"adj.同一的,同样的"
logic,"n.逻辑,逻辑学,逻辑性"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
compassionate,adj.富于同情心的
resent,"v.愤恨,怨恨"
circumstance,"n.环境,详情,境况"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
instructor,"n.教师,<美>讲师"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
widow,n.寡妇v.使成寡妇(或鳏夫)
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
emerge from,
tin-roofed,
undivided,"adj.未分开的,专一的,专心的"
jackpot,"n.[桥牌] 累积赌注,累积奖金"
fulfilment,
lottery,n.抽彩给奖法
new-found,
academic,"adj.学院的,理论的"
behavioral,adj.动作的
counterintuitive,adj.违反直觉的
fantasy,"n.幻想,白日梦"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
satisfaction,"n.满意,满足,令人满意的事物"
old-hat,
unique,"adj.唯一的,独特的"
an array of,
rewarding,"adj.报答的,有益的,值得的"
involve,"vt.包括,笼罩,潜心于,使陷于"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
wear off,
creep in,
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
volume,"n.卷,册,体积,量,大量,音量"
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
wage,n.[常pl.] 工资v.发动
bang for one's buck,
be better off,
whopping,"adj.巨大的,庞大的adv.非常地,异常地"
charity,"n.慈善,施舍,慈善团体,"
pleasurable,"adj.快乐的,愉快的,合意的"
luxury,"n.奢侈,华贵"
enjoyable,"adj.令人愉快的,可享受的"
sparingly,"adv.节俭地,保守地"
availability,"n.可用性,有效性,实用性"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
obsession,"n.迷住,困扰"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
slave,n.奴隶v.辛勤努力
commute,"v.交换,抵偿,减刑,<电工>整流"
jolly,"adj.欢乐的,高兴的,快活的"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
restrict,"vt.限制,约束,限定"
privileged,"adj.有特权的,有特别恩典的"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
enhance,"vt.提高,增强v.提高"
incentive,n.动机adj.激励的
lot,"n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄"
scarcity,"n.缺乏,不足"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
come away,
overweight,n.超重
calcium,n.[化]钙(元素符号Ca)
likewise,"adv.同样地,照样地,又,也n.同样地"
indicator,"n.指示器,[化]指示剂"
protective,"adj.给予保护的,保护的"
deficiency,"n.缺乏,不足"
somewhat,"adv.稍微,有点,有些"
obesity,"n.肥胖,肥大"
define,"vt.定义,详细说明"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
divide,"v.分,划分,分开,隔开,"
obese,"adj.肥胖的,肥大的"
severely,"adv.严格地,激烈地"
turn out,
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
equal,"adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上"
square,"n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算"
moderately,adv.适度地
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
straightforward, dly//adv.正直地
extremely,"adv.极端地,非常地"
collegiate,adj.学院的
percentage,"n.百分数,百分率,百分比"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
conversely,"adv.倒地,逆地"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
laziness,"n.怠惰,无精打采"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
harbor,n.海港
look down on,
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
ban,"n.禁令vt.禁止,取缔(书刊等)"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
fitness,"n.适当,适切性"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
threat,"n.恐吓,凶兆,威胁"
stimulate,"vt.刺激,激励v.刺激,激励"
sugary,"adj.含糖的,甜的"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
initiative,n.主动
visibility,"n.可见度,可见性,显著,明显度,能见度"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
security,n.安全
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
moan,"n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟"
under fire,
Conservative,
prime minister,
election,"n.选举,当选,选择权,[宗]上帝的选拔"
queue,"n.行列,长队,队列vi.排队,排队等待"
drive up,
national,"adj.国家的,国立[有]的,民族的"
chancellor,"n.长官,大臣"
financing,"n.筹措资金,理财,筹集资金,融资,财务,资金"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
lengthy,"adj.(演说、文章等)冗长的,过分的"
affluence,"n.富裕,富足"
income,"n.收入,收益,进款,所得"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
swell,"v.(使)膨胀,增大"
uninsured,adj.未保险的
bankruptcy,n.破产
announcement,"n.宣告,发表,一项公告,一项私人告示"
legacy,"n.遗赠(物),遗产(祖先传下来)"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
retiring,adj.退休的
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
ill,"adj.有病的,坏的,恶意的,生病"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
unlike,"adj.不同的,不相似的 prep.不象...,和...不同"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
coverage,n.复盖
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
thanks to,
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
innovative,"adj.创新的,革新(主义)的"
cite,"vt.引用,引证,提名表扬"
unequal,"adj.不平等的,不同的,不平衡的,不胜任的"
inefficiency,"n.无效率,无能"
strength,"n.力,力量,力气,实力,兵力,浓度"
weakness,"n.虚弱,软弱,弱点,缺点"
out of choice,
shocking,"adj.骇人听闻的,非常讨厌的,不正当的"
disapprove,v.不赞成
proportionately,"adv.相称地,成比例地"
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享"
version,"n.译文,译本,翻译"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
privately,"adv.私下地,秘密地"
run up bills,
socialize,"v.使社会化,使社会主义化"
