cent,"n.(货币单位)分,分币"
inhuman,adj.野蛮的
innocuous,"adj.无害的,无毒的,无伤大雅的,不得罪人的"
immoral,"adj.不道德的,邪恶的,放荡的,淫荡的"
impassion,"vt.激动,激起热情"
infect,"vt.[医] 传染,感染"
innovate,
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
incidence,"n.落下的方式,影响范围,[物理]入射"
impel,"vt.推动,推进,激励,驱使,逼迫"
incite,"vt.激动,煽动"
incur,v.招致
induce,"vt.劝诱,促使,导致,引起,感应"
invigorate,v.鼓舞
impress,"vt.印,盖印,留下印象"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
include,"vt.包括,包含"
indoor,"adj.户内的,室内的"
insert,"vt.插入,嵌入n.插入物"
implant,v.灌输
immigrate,vt.使移居入境vi.移来
immerge,"vi.浸入,浸没,隐没,埋头"
inflow,"n.流入,流入物"
impede,v.阻止
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
inhale,vt.吸入vi.吸气
inject,"vt.注射,注入"
ingest,"vt.摄取,咽下,吸收"
introduce,"vt.介绍,传入,引进,提出"
introduction,"n.介绍,传入,初步,导言,绪论,入门"
introvert,n.格性内向的人
intromit,"vt.使进入,插入"
protect,vt.保护 /n.保护/解除
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
prohibit,"vt.禁止,阻止"
prominent,"adj.卓越的,显著的,突出的"
pronounce,"v.发音,宣告,断言"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
profile,"n.剖面,侧面,外形,轮廓"
progress,"n.前进,进步,发展vi.前进,进步,进行"
proclaim,"vt.宣布,声明,显示,显露"
procure,"v.获得,取得"
profess,v.表示
proficient,n.精通
prolong,"vt.延长,拖延"
propel,"vt.推进,驱使"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
pro-slavery,
pro-American,
pro-British,
pronoun,n.代名词
pro-consul,
procurator,n.代理人
prolocutor,"n.代言人,发言人,主持会议者"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
underfoot,"adv.在脚下面,碍事"
underwear,n.内衣裤
underclass,"n.一、二年级学生,下层阶级"
undercurrent,n.潜流
underscore,"vt.划线于...下,强调n.底线"
undersea,adj.海面下的
underworld,n.黑社会
forefather,"n.祖先,祖宗"
forefront,"n.最前部,最前线,最活动的中心"
forehead,"n.前额,(任何事物的)前部"
foretell,"v.预言,预示,预测"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
foresee,"vt.预见,预知"
forefinger,n.食指
forerunner,"n.先驱(者),传令官,预兆"
foresight,"n.远见,深谋远虑"
interview,"vt.接见,会见n.接见,会见"
interact,"vi.互相作用,互相影响"
interplay,v.相互影响n.相互影响
interrelate,v.(使)相互关连
international,"adj.国际的,世界的n.国际性组织,国际比赛"
interchange,vt.(指两人等)交换v.相互交换
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
interfere,"vi.干涉,干预,妨碍,打扰"
intercity,adj.城市间的
interstate,adj.州际的
interstellar,adj.星际的
postage,n.邮资
postbag,n.邮袋
postbox,n.邮箱
postcard,"n.明信片,风景明信片"
postcode,n.邮递区号
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者"
postman,n.邮差
post office,
postal,"adj.邮政的,邮局的"
postdate,vt.填迟...的日期n.事后日期
postgraduate,"n.研究所学生,研究生adj.毕业后的"
postwar,adj.战后的
postface,n.刊后语
postmodern,
postpone,"vt.推迟,使延期,延迟"
posttreatment,adj.治疗后的 adv.治疗后 n.后治疗
supermarket,n.超级市场
superhero,n.超级英雄
superpower,n.超级强权
supersonic,"adj.超音波的n.超声波,超声频"
superhighway,n.超级高速公路
superhuman,"adj.超人的,属于神仙的n.超人"
supermodel,
superfluous,"adj.多余的,过剩的,过量的"
superexcitation,
supersensitive,adj.过敏的
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
superstructure,"n.(建筑物,铁路等的)上部构造,上层建筑"
supervise,"v.监督,管理,指导"
superiority,"n.优越,高傲"
superstition,n.迷信
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒"
comment,"n.注释,评论,意见vi.注释,评论"
compete,"vi.比赛,竞争"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
concept,"n.观念,概念"
condense,"v.(使)浓缩,精简"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
compel,"vt.强迫,迫使"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
commemorate,vt.纪念
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
comprehend,"vt.领会,理解,包括(包含),由...组成"
concise,"adj.简明的,简练的"
comparison,"n.比较,对照,比喻,比较关系"
confront,"vt.使面临,对抗"
contemporary,"n.同时代的人adj.当代的,同时代的"
consist,"vi.由...组成,在于,一致"
cooperate,"vi.合作,协作"
correspond,"vi.符合,协调,通信,相当,相应"
correlate,vt.使相互关联vi.和...相关
compassion,"n.同情,怜悯"
cohere,"vi.粘着,凝结,紧凑"
collaborate,"vi.合作,通敌"
coexist,vi.共存
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
declaim,"v.巧辩,演讲,高声朗读"
depict,"vt.描述,描写"
delimit,"vt.定界限,划界"
destruction,"n.破坏,毁灭"
decompose,"v.分解,(使)腐烂"
dematerialize,"v.(使)丧失物质形态,(使)消失"
decentralize,
defame,v.诽谤
dehydrate,vt.(使)脱水
decode,"vt.解码,译解"
decolor,"v.脱色,漂白"
deforest,"vt.采伐森林,清除树林"
desalt,vt.除去盐分
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
devalue,"v.(=devaluate)减值,贬值"
decelerate,v.(使)减速
derail,v.出轨
detrain,v.(使)下火车
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
evanish,"vi.消失,消灭"
enumerate,v.列举
estrange,v.疏远
eliminate,"vt.排除,消除v.除去"
elimination,"n.排除,除去,消除,消灭"
efface,v.抹掉
eradicate,v.根除
observe,"vt.观察,观测,遵守,评述,说"
obtain,"vt.获得,得到"
obsess,"vt.迷住,使困扰"
oppress,"vt.压迫,压抑"
obtrude,"vt.强迫,冲出vi.打扰"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
divert,"v.转移,转向,使高兴"
divest,v.剥夺
dilate,"vi.扩大,详述,膨胀vt.使扩大,使膨胀"
divide,"v.分,划分,分开,隔开,"
dilemma,"n.进退两难的局面,困难的选择"
dioxide,n.二氧化物
dilapidate,"v.(使)荒废,(使部分)毁坏,浪费"
digamist,n.再婚者
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
emit,"vt.发出,放射,吐露,散发,发表,发行"
erupt,vt.喷出vi.爆发
evaluate,"vt.评价,估计,求...的值v.评价"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
emigrate,vi.永久(使)移居vt.(使)移民
evaporate,"v.(使)蒸发,消失"
evade,"v.规避,逃避,躲避"
eccentric,adj.古怪n.行为古怪的人
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
expose,"vt.使暴露,受到,使曝光v.揭露"
exceed,"vt.超越,胜过vi.超过其他"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
expel,"v.驱逐,开除,排出,发射"
excise,"n.消费税,货物税,国产税vt.收税,切除"
exhume,"vt.掘出,发掘"
expire,"v.期满,终止,呼气,断气,届满"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
exalt,v.晋升
excavate,"v.挖掘,开凿,挖出,挖空"
ex-mayor,
ex-minister,
ex-president,
ex-wife,
ex-husband,
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absorb,"vt.吸收,吸引"
abnormal,"adj.反常的,变态的"
abrupt,"adj.突然的,陡峭的,生硬的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
abduct,"vt.诱拐,绑架"
abdicate,"v.退位,放弃(职位,权力等)"
abrogate,"vt.废除,取消"
abstain,"v.禁绝,放弃"
telephone,"n.电话,电话机v.打电话"
telescope,n.望远镜v.压缩
television,"n.电视,电视机,电机学,电视广播事业"
telegram,n.电报
telegraph,"n.电报机,电报v.打电报,发电报,打电报说"
hopeless,"adj.没有希望的,绝望的,不可救药"
homeless,"adj.无家的,无家可归的"
endless,"adj.无止境的,无穷的"
useless,"adj.无用的,无效的,无益的,无价值的"
effortless,"adj.容易的,不费力气的"
colorless,"adj.无色的,无趣味的"
flawless,"adj.无瑕疵的,无缺点的,无裂缝的"
shameless,adj.不知羞耻的
relentless,adj.无情的
banker,n.银行家
jumper,"n.跳跃者,跳高运动员,跳跃的动物,妇女穿的套头外衣,海员的上衣,工作服;跳线"
teenager,n.十几岁的青少年
jailer,"n.看守监狱的人,狱卒"
insider,"n.内部的人,会员,知道内情的人,权威人士"
cashier,"n.(商店等的)出纳员,(银行或公司的)司库"
financier,"n.财政家,金融家vi.欺骗性地从事金融活动,欺骗,骗取"
cooker,"n.炊具,蒸(煮)机,(非生吃的)为烹食所种水果"
washer,"n.洗衣人,垫圈,洗衣机,洗碗机"
boiler,"n.煮器(锅,壶的统称),汽锅,锅炉"
heater,"n.加热器,发热器"
lighter,"n.点火者,打火机,驳船v.驳运"
engineer,"n.工程师,技师,火车司机,轮机员,工兵"
mountaineer,"n.山地人,登山运动员v.登山"
pioneer,"n.先驱,倡导者,先遣兵,先锋"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
mutineer,"n.叛徒,反抗者"
interviewee,"n.被接见者,被访问者"
refugee,"n.难民,流亡者"
trainee,"n.练习生,新兵"
absentee,"n.缺席者,未上班者"
devotee,"n.热爱家,皈依者,献身者"
forgetful,"adj.健忘的,易忘的"
peaceful,"adj.和平的,平静的,安宁的,爱好和平的"
doubtful,"adj.可疑的,不确的,疑心的"
shameful, 不体面的
willful,"adj.任性的,故意的"
teaching,"n.教学,[宗]教义,教导"
swimming,"n.游水,目眩adj.游泳(者)的,游泳(者)用的,会游泳的"
shopping,"n.买东西,购物"
ageing,"n.成熟,变老"
feeling,"n.触觉,知觉,感觉,情绪,同情adj.富于感情的,富于同情心的,衷心的,有同情心的,有感觉的,仁慈的"
building,"n.建筑物,营造物(如房屋,大楼,工厂,船等)"
clothing,n.衣服
sailing,v.航行adj.航行的
coloring, 色彩
washing,"n.洗涤,洗涤物,冲走的东西adj.洗涤用的,洗涤的"
fishing,"n.钓鱼,捕鱼"
hairdressing,"n.理发,美发,美容"
advertizing,"n.广告业,广告adj.广告的"
printing,"n.印刷,印刷术,[纺]印花"
banking,n.银行业
accounting,"n.会计学,清算帐目"
burning,"adj.燃烧的,强烈的,极严重的v.燃烧"
fascinating,"adj.迷人的,醉人的,着魔的"
encouraging,"adj.奖励的,可奖励的"
fighting,"adj.好战的,战斗的"
inviting,"adj.引人动心的,有魅力的"
gifted,adj.有天才的
aged,"adj.年老的,...岁的,老年人特有的"
bearded,"adj.有须的,有胡子的,有芒的"
pointed,"adj.尖角的,敏锐的,锐利的,率直的,突出的"
hooked,adj.钩状的
horned,"adj.有角的,角状的"
breaded,
iced,"adj.冰冷的,装冰的,冰冻的"
accepted,"adj.一般承认的,公认的"
canned,"adj.罐装的,录音的,一稿数用的,喝醉了的"
boxed,
impressed,
national,"adj.国家的,国立[有]的,民族的"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
animal,n.动物
hospital,n.医院
regional,"adj.整个地区的,地方地,地域性地"
emotional,"adj.情绪的,情感的"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
continental,"adj.大陆的,大陆性的n.欧洲人"
exceptional,"adj.例外的,异常的"
arrival,"n.到来,到达,到达者"
survival,"n.生存,幸存,残存,幸存者,残存物"
trial,"n.试验,考验,审讯,审判"
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
withdrawal,"n.收回,撤退,退回,取消,退隐,停止服药,退股"
dismissal,"n.免职,解雇,不予考虑"
confidential,"adj.秘密的,机密的"
presidential,adj.总统的
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
commercial,"adj.商业的,贸易的"
facial,adj.面部的
impartial,"adj.公平的,不偏不倚的"
judicial,"adj.司法的,法院的,公正的,明断的"
apparent,"adj.显然的,外观上的"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
obedient,"adj.服从的,孝顺的"
prevalent,"adj.普遍的,流行的"
agent,n.代理(商)
correspondent,"n.通讯记者,通信者"
resident,"n.居民adj.居住的,常驻的"
antecedent,n.先辈adj.先行的
bookish,"adj.书本上的,好学的"
childish,"adj.孩子气的,幼稚的"
foolish,"adj.愚蠢的,傻的,笨的,卤莽的,可爱的"
modish,"adj.流行的,时髦的"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
diminish,"v.(使)减少,(使)变小"
banish,"vt.流放,驱逐,消除"
weekly,"adj.每星期的,一周的adv.每周一次n.周刊,周报"
homely,adj.家常的
manly,"adj.男子气概的,果断的,雄赳赳adv.雄赳赳地"
scholarly,"adj.学者气质的,学者风度的"
timely,"adj.及时的,适时的"
probably,"adv.大概,或许"
definitely,"adv.明确地,干脆地"
extremely,"adv.极端地,非常地"
largely,"adv.主要地,大量地,很大程度上"
widely,"adv.广泛地,普遍地,广博地,相差大地"
exceedingly,"adv.非常地,极度地"
amusement,"n.娱乐,消遣,娱乐活动"
advertisement,"n.广告,做广告"
development,n.发展
establishment,"n.确立,制定,设施,公司,军事组织"
fragment,"n.碎片,断片,片段"
management,"n.经营,管理,处理,操纵,驾驶,手段"
movement,"n.运动,动作,运转,乐章"
statement,"n.声明,陈述,综述"
harassment,n.折磨
government,"n.政府,<英>内阁,政治,政体"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
basement,"n.地下室,墙脚"
pavement,"n.人行道,公路"
segment,"n.段,节,片断v.分割"
embankment,"n.堤防,筑堤"
decision,"n.决定,决心,决议,结果,果断,坚定"
suspension,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
addition,"n.加,加起来,增加物,增加,加法"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
profusion,n.丰富
dilapidation,"n.荒废,崩塌,破损"
provocation,"n.激怒,刺激,挑衅,挑拨"
brightness,"n.光亮,明亮,聪明,智慧,[光]亮度"
kindness,"n.仁慈,亲切,好意,善意"
weakness,"n.虚弱,软弱,弱点,缺点"
bitterness,"n.苦味,辛酸,苦难"
emptiness,"n.空虚,无知"
positiveness,
strength,"n.力,力量,力气,实力,兵力,浓度"
warmth,"n.暖和,温暖,热心,热情"
breadth,"n.宽度,(布的)幅宽,(船)幅"
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等) /n.宽/高比"
mirth,"n.欢笑,高兴"
discovery,"n.发现,发明的东西"
inquiry,"n.质询,调查"
jealousy,n.嫉妒
doggy,"n.小犬,小狗adj.像狗一样的"
kitty,n.小猫 Kitty 基蒂(女子名)
silky,"adj.丝的,柔滑的"
tardy,adj.拖拉非
bandage,n.绷带
beverage,n.饮料
heritage,"n.遗产,继承权,传统"
mileage,"n.英里数,英里里程"
voltage,"n.[电工]电压,伏特数"
foliage,"n.树叶,植物"
breakage,"n.破坏,破损,破损量"
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
drainage,"n.排水,排泄,排水装置,排水区域,排出物,消耗"
shrinkage,
advantage,"n.优势,有利条件,利益"
usage,"n.使用,用法"
shortage,"n.不足,缺乏"
teenage,adj.十几岁的
postage,n.邮资
railage,"n.<英>铁路运输,铁路运费"
waterage,"n.水路运输,水运费"
towage,"n.拉,曳,拖船费"
appearance,"n.出现,露面,外貌,外观"
reliance,"n.信任,信心,依靠,依靠的人或物"
vacancy,"n.空,空白,空缺,空闲,清闲,空虚"
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
pregnancy,n.怀孕
perseverance,n.坚定不移
resemblance,n.类同之处
buoyancy,"n.浮性,浮力,轻快"
forbearance,"n.自制,忍耐,[律]债务偿还期的延展"
vigilance,"n.警戒,警惕,失眠症,警惕性"
difference,"n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的"
dependence,"n.依靠,依赖,信任,信赖"
efficiency,"n.效率,功效"
tendency,"n.趋向,倾向"
emergence,"n.浮现,露出,(植物)突出体,出现"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
currency,n.流通
consistency,"n.连结,结合,坚固性,浓度,密度,一致性,连贯性"
deficiency,"n.缺乏,不足"
persistency,"n.固执,持续"
reverence,"n.尊敬,敬重,敬礼,尊严,威望,尊敬的...阁下vt.崇敬,敬畏,尊敬"
delinquency,"n.行为不良,错失"
innocence,n.清白
insistence,"n.坚持,坚决主张"
negligence,n.疏忽
accuracy,"n.精确性,正确度"
bankruptcy,n.破产
conspiracy,"n.共谋,阴谋"
illiteracy,n.文盲
infancy,n.幼年
intimacy,"n.亲密,隐私,亲昵行为(尤指不正当的性关系)"
efficacy,"n.功效,效验"
rapacity,"n.贪婪,掠夺"
addictive,adj.上瘾的
receptive,"adj.善于接受的,能接纳的"
appreciative," a欣赏的,有欣赏力的,表示感激的,承认有价值的"
detective,n.侦探adj.侦探的
native,"n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的"
directive,n.指示
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
preventive,adj.预防性的
competitive,adj.竞争的
sensitive,"adj.敏感的,灵敏的,感光的"
representative,"n.代表adj.典型的,有代表性的"
affirmative,"adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的n.肯定语"
argumentative,"adj.好辩的,争论的"
talkative,"adj.多话的,爱说话的,多嘴的"
repetitive,"adj.重复的,反复性的"
meditative,"adj.沉思的,爱思考的,冥想的"
authoritative,"adj.权威的,有权威的,命令的"
considerate,adj.考虑周到的
moderate,"adj.中等的,适度的,适中的v.缓和"
sedate,"adj.安静的,稳重的v.给...服镇静剂"
illegitimate,"adj.违法的,非嫡出的,庶生的,私生的,不合理的,不合逻辑的n.非嫡出子,庶子vt.认为违法,认做私生子"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
vaccinate,v.进行预防接种n.被接种牛痘者
agitate,"v.搅动,摇动,煽动,激动"
differentiate,"v.区别,区分"
accentuate,"v.重读,强调,着重强调"
remonstrate,v.抗议
darken,"v.(使)变暗,(使)变黑,处于暗淡之中"
deepen,"v.加深,深化"
lengthen,"v.延长,(使)变长"
sweeten,"v.(使) 变甜,加糖"
sharpen,"v.削尖,磨快,尖锐"
broaden,"v.放宽,变宽,扩大,加宽"
golden,"adj.金色的,金黄色的,贵重的,极好的,黄金的"
woolen,adj.毛纺的
wooden,adj.木制的
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
cure,"v.治愈,治疗n.治愈,痊愈"
security,n.安全
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
curiosity,n.好奇心
course,"n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
occur,"vi.发生,出现"
curable,"adj.可医治的,医得好的"
recur,"vi.复发,重现,再来"
cursory,"adj.匆匆忙忙的,粗略的,草率的"
excursive,"adj.离题的,散漫的"
invasion,n.入侵
invade,"vt.侵略,侵袭,拥挤"
evade,"v.规避,逃避,躲避"
pervade,v.遍及
pervasion,"n.扩散,渗透"
pervasive,adj.普遍深入的
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
fault,"n.过错,缺点,故障,毛病vt.挑剔vi.弄错"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
faultless,"adj.无错误的,无缺点的,完美的,无缺点的,无可指责的"
fallacious,"adj.谬误的,靠不住的,虚妄的,令人失望的,虚伪的,使人误解的,不合理的"
infallible,
falsify,v.伪造
sole,"adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底"
solitude,n.孤独
solo,n.独奏曲adj.单独的
desolate,"adj.荒凉的,无人烟的"
solitary,adj.孤独的
delicious,adj.美味的
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
elicit,"vt.得出,引出,抽出,引起"
frolic,"n.嬉闹vi.嬉戏adj.嬉戏的,欢乐的"
introduce,"vt.介绍,传入,引进,提出"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
product,"n.产品,产物,乘积"
reduce,"vt.减少,缩小,简化,还原"
conduct,"n.行为,操行v.引导,管理,为人,传导"
deduction,"n.减除,扣除,减除额,推论,演绎"
induce,"vt.劝诱,促使,导致,引起,感应"
productive,"adj.生产性的,生产的,能产的,多产的"
productivity,n.生产力
deduce,"vt.推论,演绎出"
aqueduct,"n.沟渠,导水管"
educe,"vt.得出,导出,引出,唤起,使显出"
improper,"adj.不适当的,不合适的,不正确的,不合礼仪的,不适宜"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
proper,"adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的"
appropriate,adj.适当的
proprietory,adj.=proprietary
expropriate,"vt.没收,征用,剥夺"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
accredit,"vt.信任,授权,归于"
credential,"n.外交使节所递的国书,信任壮"
creed,n.信条
discredit,"n.无信用,疑惑,不名誉,耻辱vt.不信,怀疑,使丢脸"
incredulity,n.怀疑
credible,"adj.可信的,可靠的"
profession,"n.职业,专业,表白,宣布"
professor,"n.教授,公开表示信仰的人"
fable,"n.寓言,神话,谎言vi.讲故事,编寓言,煞有其事地讲述"
confess,"v.承认,坦白,忏悔"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
confession,"n.供认,承认,招供"
affable,adj.和蔼可亲的
logic,"n.逻辑,逻辑学,逻辑性"
catalogue,n.目录
dialogue,n.对话
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
logical,"adj.合乎逻辑的,合理的"
analogy,"n.类似,类推"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
prologue,n.序言
announcement,"n.宣告,发表,一项公告,一项私人告示"
pronunciation,"n.发音,读法"
announce,"vt.宣布,通告"
pronounce,"v.发音,宣告,断言"
denounce,"vt.公开指责,公然抨击,谴责"
renounce,v.断绝关系
passion,"n.激情,热情,耶稣的受难和死亡"
sympathy,"n.同情,同情心"
pathetic,"adj.可怜的,悲惨的"
passive,adj.被动的
impassive,adj.冷漠的
compassion,"n.同情,怜悯"
apathetic,"adj.缺乏兴趣的,缺乏感情的,无动于衷的"
impassioned,adj.热情洋溢的
horrible,"adj.可怕的,恐怖的,讨厌的"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
horrify,"v.使恐怖,使极度厌恶,惊骇"
abhor,"vt.憎恶,痛恨"
science,"n.科学,自然科学,理科"
scientific,adj.科学的
conscience,"n.良心,道德心"
conscious,
subconscious,adj.下意识的
omniscient,"adj.全知的,无所不知的n.无所不知者,[宗]上帝"
distinction,"n.区别,差别,级别,特性,声望,显赫"
extinction,"n.消失,消灭,废止,[物]消光"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
distinguish,"v.区别,辨别"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
instinct,n.本能
stimulate,"vt.刺激,激励v.刺激,激励"
distinctive,"adj.与众不同的,有特色的"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
distinguished,"adj.卓著的,著名的,高贵的"
instigate,v.鼓动
conflict,"n.斗争,冲突vi.抵触,冲突"
inflict,v.造成
infliction,"n.施加,使负担"
afflict,"vt.使痛苦,折磨"
adore,"v.崇拜,爱慕,(口语)喜爱"
oral,adj.口头的
orate,"vi.演说,大言不惭的演说"
oracle,"n.[宗](古希腊)神谕,预言,神谕处,神使,哲人,圣贤 美国ORACLE公司,主要生产数据库产品,也是主要的网络计算机的倡导者"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
neutralist,n.中立主义者
neutralization,"n.中立化,中立状态,[化]中和"
neutron,n.中子
neutralism,"n.中立,中立主义"
neutrality,"n.中立,中性"
neutralize,v.压制
linguist,n.语言学家
lingo,"n.(尤指)方言,行话,隐语"
lingual,adj.语言的
linguistics,n.语言学
bilingual,adj.能说两种语言的
multilingual,adj.使用多种语言的
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
quarrel,"n.吵架,反目,怨言,争吵的原因vi.吵架,争论,挑剔"
quarrelsome,"adj.喜欢吵架的,好争论的"
querulous,"adj.鸣不平的,发牢骚的,易怒的,暴躁的"
appetite,"n.食欲,胃口,欲望,爱好"
competent,"adj.有能力的,胜任的"
competence,n.能力
perpetual,adj.永久的
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
impetus,"n.推动力,促进"
incompetent,"adj.不合格的,不胜任的n.无能力者"
propitious,adj.吉利的
commercial,"adj.商业的,贸易的"
merchant,"n.商人,批发商,贸易商,店主adj.商业的,商人的"
commerce,n.商业
merchandise,"n.商品,货物"
mercantile,"adj.商人的,商业的,经商的,重商主义的,以金钱为目的的"
mercenary,adj.唯利是图的
employ,"vt.雇用,用,使用v.使用n.雇用"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
ploy,"n.策略,趣味,工作"
deploy,"v.展开,配置"
