arroyo,"n. 干涸沟壑, 旱谷, 小河"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
acrimony,"n. 严厉, 尖刻
[医] 辛辣"
exacting,"a. 苛求的, 吃力的"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
nipping,"a. 刺骨的, 刺人肌肤的, 讥刺的"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
[医] 冲味的, 刺激味的"
scathing,"a. 伤害的, 损伤的, 严厉的"
stringent,"a. 迫切的, 严厉的, 银根紧的
[医] 约束的, 紧迫的"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
vinegared," 酸的, 尖刻的；醋腌的"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
acidulous,"a. 带酸味的, 尖刻的, 带讽刺意味的
[医] 微酸的"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
[计] 空闲时间"
indolent,"a. 懒惰的, 无痛的
[医] 无痛的"
indolence,"n. 怠惰, 无痛
[医] 无痛"
integrating,v. 整合；积分；集成化（integrate的ing形式）
inertia,"n. 惯性, 惰性, 迟钝
[化] 惯性"
loll,"vi. 懒散地闲荡, 垂下头, 伸舌
vt. 垂, 伸, 靠着"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
sloth,"n. 怠惰, 懒惰"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
supine,"a. 仰卧的, 掌心向上的, 懒散的
[医] 仰卧的, 旋后的"
torpid,"a. 麻痹的, 迟缓的, 迟钝的, 蛰伏的
[医] 迟钝的, 不活泼的, 缓慢的"
torpor,"n. 麻木, 无感觉, 迟钝
[医] 迟钝, 不活泼"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
[经] 萧条的, 呆滞的"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
miserly,"a. 吝啬的, 贪婪的"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
penury,"n. 贫困, 贫穷, 拮据, 馈乏
[法] 赤贫, 缺乏"
stinginess,n. 吝啬
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
tightfisted," 吝啬的, 小气的"
tightwad,n. 吝啬鬼；守财奴
skimpy,"a. 不足的, 吝啬的"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
parsimonious,"a. 过度节俭的, 吝啬小气的"
clannish,"a. 氏族的, 宗族的, 团结心很强的"
clique,"n. 派系, 集团
vi. 结党
[计] 集团型"
coterie,"n. 同人, 圈内人, 小集团"
cronyism,n. 任人唯亲
devious,"a. 偏僻的, 迂回的"
faction,n. 派别；内讧；小集团；纪实小说
hidebound,un. 瘦得皮包骨的
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
inequity,"[法] 公理上, 依衡平法"
jaundice,"n. 黄疸, 偏见, 乖僻
vt. 使患黄疸, 使怀偏见"
jaundiced,"a. 患黄疸病的, 有偏见的, 嫉妒的"
lopsided,"a. 倾侧的, 不平衡的"
nepotism,"n. 偏袒亲属, 起用亲戚"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
partiality,"n. 偏心, 偏颇, 不公平, 特别喜欢, 癖好
[法] 偏袒, 偏见, 不公平"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
tendentious,"a. 有偏见的, 有倾向的, 淘气的"
unjustly,"adv. 不义地, 不法地"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
[医] 生客恐怖"
bigotry,"n. 盲从, 偏见, 偏执的行为(或态度)"
factious,"a. 好搞派系的, 好结党营私的"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
[计] 偏流; 偏压; 偏磁; 偏离"
discrimination,"n. 差别, 岐视, 辨别力
[化] 鉴别"
cramped,"a. 狭窄的, 难懂的, 难辨的"
banal,"a. 平凡的, 陈腐的"
bathetic,"a. 陈腐的, 突降的"
decadence,n. 颓废
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
mediocrity,"n. 平常, 平庸之才"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
trite,"a. 老一套的, 陈腐的, 用坏的"
nondescript,[网络] 难以描述；设计成四不像
acquisitive,"a. 渴望获得的, 贪婪的
[法] 取得的, 获得的, 贪得无厌的"
avarice,n. 贪婪
avaricious,a. 贪婪的
covet,"v. 妄想, 垂涎"
cupidity,"n. 贪心, 贪婪"
grasping,"a. 抓的, 握的, 贪婪的"
ravenous,"a. 贪婪的, 饿极的, 狼吞虎咽的"
venal,"a. 可收买的, 贪污的, 用金钱买得的
[经] 贪污的"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
voracity,"n. 贪食, 贪婪"
glutton,"n. 暴食者, 酷爱...的人"
covetous,"a. 贪婪的, 妄想的"
captious,"a. 吹毛求疵的, 挑剔的"
cavil,"n. 无端的指责, 挑剔
v. 吹毛求疵"
critical,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
nitpick,"v. 找碴儿
[网络] 挑剔；评头论足；吹毛求疵"
persnickety,"a. 爱挑剔的, 吹毛求疵的, 精细的"
censorious,"a. 爱批判的, 挑剔的"
carping,"a. 吹毛求疵的, 挑毛病的"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
closed-minded,无
contumacious,"a. 不听命令的, 反抗权威的, 反抗法院命令的
[法] 反抗法院命令的, 不听命令的"
dogged,"a. 顽固的, 顽强的"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
intractable,"a. 不听话的, 倔强的, 棘手的
[医] 顽固的, 难治的"
intransigent,"a. 非妥协性的
n. 不妥协的人"
mulish,"a. 似骡的, 执拗的, 顽固的"
obdurate,"a. 顽固的, 执拗的, 冷酷的
[法] 执迷不悟的, 毫不悔改的, 无情的"
obstinacy,"n. 倔强, 顽固, 固执行为, (疼痛等)难治"
obstinate,"a. 倔强的, 顽固的, 不让步的"
opinionated,"a. 固执己见的, 武断的"
pertinacious,"a. 坚持不放的, 执拗的, 顽固的, 顽强的, (疾病)难以治好的"
restiveness,n. 难以驾御；倔强
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
bigoted,"a. 盲从的, 固执己见的, 执迷的, 顽固的"
hard-nosed,无
wrongheaded,"a. 执迷不悟的, 固执错误的"
headfirst,"头向前地, 冒失地"
obduracy,"n. 顽固, 执拗, 冷酷"
far-fetched,无
illusion,"n. 幻影, 错觉, 幻想
[医] 错觉"
knead,"vt. 揉, 按摩, 捏
[机] 揉合"
misinform,vt. 提供错误消息
illusory,"a. 产生幻觉的, 幻影的, 错觉的
[法] 因错觉产生的, 虚幻的"
affected,"a. 假装的, 做作的, 受影响的"
belie,"vt. 掩饰, 与...不符, 使失望"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
bravado,n. 虚张声势
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
contrived,"a. 人造的, 勉强的, 不自然的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
dissimulation,"n. 掩饰, 装糊涂, 虚伪
[医] 瞒病, 虚伪"
extenuate,"vt. 减轻, 为...找借口
[法] 减轻, 低估, 藐视"
feign,"vt. 假装, 装作
vi. 作假"
feigned,"a. 假的, 做作的, 捏造的
[法] 伪造的, 假装的, 虚构的"
figment,n. 虚构的事
gild,"vt. 镀金, 虚饰, 装饰, 供给钱"
hypocritical,"a. 伪善的, 伪善者的"
insincerity,"n. 不诚实, 无诚意, 伪善
[经] 不诚实"
mannered,adj. 矫饰的；守规矩的；矫揉造作的
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
[计] 屏蔽; 掩码"
pharisaic,法利赛人的
pretence,"n. 假装, 虚伪, 借口, 自称, 要求
[法] 假装, 借口, 托词"
pretend,"v. 假装, 伪称, 自命, 自称"
sanctimonious,"a. 假装圣洁的, 假装虔诚的, 假装诚实的"
stagy,"a. 戏剧的, 戏一般的, 夸大的, 做作的"
affectation,"n. 假装, 做作, 矫情
[医] 矫饰, 矫情"
gloss over,掩盖
sorcery,"n. 巫术, 魔术
[法] 巫术"
denture,"n. 一副假牙, 一副牙齿, 齿列
[医] 托牙, 牙列"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
agreeable,"a. 令人愉快的, 同意的
[医] 佳适的"
amenity,"n. 便利设施, 适意, 礼仪
[法] 舒适, 方便, 优雅"
amuse,"vt. 消遣, 娱乐, 使发笑"
beatific,"a. 至福的, 赐福的, 极乐的"
bliss,"n. 福佑, 天赐的福
[计] 实现系统软件的基本语言"
blissful,a. 充满喜悦的
blithe,"a. 愉快的, 高兴的"
bracing,"a. 新鲜的, 凉爽的, 爽快的, 振奋精神的
n. 联条, 支撑物, 支柱, 背带"
caper,开普河
carouse,"n. 喧闹的酒会或宴会
vi. 痛饮, 畅饮"
cavort,vi. 腾跃
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
conviviality,"n. 欢宴, 欢乐, 高兴"
dally,"vi. 戏耍, 玩弄, 闲混
vt. 浪费"
delectable,"a. 令人快乐的, 美味的, 使人愉快的"
disport,"v. 玩耍, 娱乐
n. 娱乐"
ebullience,"n. 沸腾, 热情, 热情洋溢
[医] 沸腾"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
[医] 入迷"
ecstatic,"n. 狂喜的人
a. 狂喜的"
elated,a. 兴高采烈的
enrapture,vt. 使狂喜
euphoria,"n. 兴奋, 陶醉, 陶醉感
[医] 精神愉快, 欣快"
exaltation,"n. 提升, 提高, 得意洋洋
[医] [异常]兴奋, 激越"
excitability,"n. 易兴奋性, 兴奋性, 激动性
[医] 应激性, 刺激感受性, 兴奋性"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
exhilaration,"n. 令人高兴, 愉快"
exuberance,"n. 茂盛, 茂盛的生长物, 丰富"
exult,"vi. 非常高兴, 欢欣"
exultant,"a. 非常高兴的, 欢欣的"
felicitate,"vt. 庆祝, 庆贺"
festal,"a. 节日的, 祭日的, 欢乐的"
festive,"a. 庆祝的, 喜庆的, 欢乐的"
fete,"n. 庆祝, 祭祀, 节日
vt. 宴请, 招待"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
frisk,"n. 乱跳, 欢闹, 活跃
vi. 欢跃, 蹦跳
vt. 轻摇"
frisky,"a. 乱跳的, 欢闹的"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
frolicsome,"a. 嬉戏的, 爱闹着玩的"
gaiety,"n. 愉快, 快活, 高兴"
gambol,"n. 跳跃, 雀跃, 嬉戏
vi. 跳跃, 雀跃, 耍闹"
genial,"a. 和蔼的, 亲切的, 友善的
[医] 颏的"
glee,"n. 欢乐, 高兴"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
[医] 愿望满足, 满意"
gratify,vt. 使满足
hedonic,"a. 快乐的, 快乐论的
n. 快乐论"
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
intoxicate,"vt. 使陶醉, 使喝醉"
jaunty,"a. 快活的, 活泼的, 轻快的"
jocund,"a. 欢乐的, 高兴的"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
jovial,"a. 快活的, 高兴的, 愉快的
[计] 国际算法语言的朱尔斯文本"
jubilant,"a. 欢呼的, 喜洋洋的"
jubilation,"n. 欢呼, 喜欢, 庆祝"
lark,"n. 云雀, 百灵鸟, 欢乐, 嬉耍
vi. 嬉耍, 骑马玩乐
vt. 愚弄"
mirth,"n. 欢笑, 欢乐, 愉快"
optimism,"n. 乐观主义, 乐观, 乐天
[医] 乐观主义, 乐观"
piquant,"a. 辛辣的, 开胃的, 刺激的, 活泼的, 调皮的, 淘气的, 可爱的"
revelry,"n. 闹饮, 狂欢"
rosy,"a. 蔷薇色的, 玫瑰红色的"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
sprightly,"a. 活泼的, 愉快的
adv. 活泼地, 愉快地"
transport,[网络] 运输
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
vivacious,"a. 活泼的, 快活的, 多年生的"
elate,"vt. 使兴高采烈, 使得意"
amenities,n. 令人愉快之事物（amenity的复数）
bacchanalian,"a. 酒神节的, 狂饮作乐的"
carousal,n. 喧闹的酒宴
romp,"n. 喧闹游玩, 顽皮女孩
vi. 喧闹玩耍, 轻快奔跑"
paradisiacal,"a. 天堂的, 极乐的"
penitence,"n. 后悔, 忏悔, 改过
[法] 悔罪, 悔过, 忏悔"
compunction,"n. 良心的责备, 后悔, 悔恨"
contrite,"a. 悔悟了的, 后悔的, 痛悔的"
contrition,"n. 完全悔悟, 悔改, 悔罪"
disaffect,"vt. 使疏远, 使不忠, 使不满意"
disgruntle,vt. 使不高兴
impenitent,"a. 不知悔改的, 顽固的
n. 不知悔改的人, 顽固的人"
insatiable,adj. 贪得无厌的；不知足的
lamentable,"a. 可悲的, 哀伤的, 可怜的"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
penitent,"a. 忏悔的, 悔悟的, 表示悔罪的
n. 忏悔的人, 悔罪者"
remorse,"n. 懊悔, 良心不安, 自责, 同情
[法] 悔恨, 自责, 懊悔"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
repine,"vi. 抱怨, 发牢骚, 向往"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
unregenerate,"a. 灵魂未得再生的, 不悔改的, 怙恶不悛的, 顽固不化的"
unrepentant,"a. 不改悔的, 不悔悟的, 顽固不化的
[法] 毫不悔改的"
funereal,"a. 送葬的, 适合葬礼的, 悲哀的"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grievous,"a. 痛苦的, 严重的, 充满悲伤的
[法] 极大的, 严重的, 惨无人道的"
heartrending,a. 使人悲痛的；令人心碎的
mourn,"v. 哀悼, 忧伤, 服丧"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
[医] 感情的"
pathos,"n. 伤感力, 感伤, 悲怅, 同情, 偶然因素, 哀婉动人的词句"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
sadden,"vt. 使忧愁, 使悲哀
vi. 忧愁, 悲哀"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
bewail,"v. 悲悼, 哀泣, 哀叹"
lachrymose,"a. 爱哭的, 悲哀的"
crestfallen,adj. 垂头丧气的
despondent,"a. 丧气的, 失望的, 没有精神的"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
morose,"a. 郁闷的, 孤僻的"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
plangent,"a. 轰鸣的, 凄切的, 哀鸣的"
saturnine,"a. 沉默寡言的, 阴沉的, 铅中毒的
[医] 铅的"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
maudlin,"a. 容易流泪的, 感伤的, 酒后伤感的
n. 伤感"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
snivel,"vi. 流鼻涕, 哭泣
n. 流鼻涕, 哭泣, 假哭"
lugubrious,"a. 忧郁的, 悲惨的, 悲哀的"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
discombobulate,"vt. 使混乱, 使困惑, 使泄气"
discombobulated,vt. 使混乱；使泄气；使困惑
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
foment,"vt. 热敷, 煽动"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
grate,"n. 炉格, 炉篦, 炉栅, 火炉, 壁炉, 格栅
vt. 装格栅于, 磨擦, 轧碎, 磨碎, 使焦急, 触怒, 使人烦躁, 刺激, 激怒
vt.vi. 擦响, 发出刺耳的尖厉声"
grating,G级，G类(1968 年美国实行的按影片内容适合哪一类观众的制度所规定的大人、小孩都适合观看的影片)
harass,"vt. 使困扰, 使烦恼, 折磨"
harry,"vt. 掠夺, 使苦恼, 强使前行, 折磨, 骚扰"
heckle,"vt. 诘问, 以麻梳梳理, 激烈质问
n. 针排"
infest,"vt. 骚扰, 寄生于, 大批出没
[医] 传染, 感染"
interrupt,"vt. 中止，中断，阻碍；遮断；打断(别人讲话等)；打扰；打破…的平衡(或连续性等)
vi. 打断；打扰
n. 中断；暂停；隔阂；距离；分隔；裂痕；【计算机】中断信号"
molest,"vt. 妨碍, 干扰, 调戏
[法] 调戏, 作弄, 恶意干涉"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
obsess,"vt. 迷住, 使困扰"
obsessed,a. 着迷的；无法摆脱的
obsession,"n. 困扰, 困扰人的情绪
[医] 强迫观念"
provocation,"n. 激怒, 刺激, 挑拨
[医] 激发[作用]"
qualm,"n. 晕眩, 不安, 疑虑
[法] 疑虑, 不安, 内疚"
roil,"vt. 搅浑, 使焦急"
sedition,"n. 煽动骚乱, 暴动, 妨害治安, 骚动
[法] 煽动, 煽动叛逆罪, 暴动"
seditious,"a. 煽动性的, 妨害治安的
[法] 妨害治安罪的, 煽动性的, 危及治安的"
uptight,"adj. 非常神经质的；非常焦急的；极端保守的；过于严格的
[网络] 紧张；紧绷"
vexation,"n. 恼怒, 烦恼, 令人恼火的事情
[法] 招人烦恼的事物, 烦恼, 苦闷"
vexatious,"a. 叫人发急的, 使人为难的, 无理缠讼的
[经] 苛捐杂税"
hotheaded,a. 急躁的
annoy,"vt. 使恼怒, 骚扰"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
berserk,"a. 狂暴的, 疯的
adv. 狂暴地, 疯地"
bilious,"a. 患胆(或肝)病的, 胆汁质的, 坏脾气的
[医] 胆汁的, 胆汁质的"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
cantankerous,"a. 专爱唱反调的, 爱吵架的"
chagrin,"n. 懊恼
vt. 使懊恼"
choleric,"a. 易怒的
[医] 胆汁质的, 急躁的"
crabbed,"a. 潦草的, 难懂的, 易怒的, 倔强的"
cross,[网络] 罗斯；萝丝
crotchety,"a. 有怪想的, 反复无常的, 想入非非的"
discomfit,"vt. 打乱, 挫败, 使破灭"
enflame,v. 燃烧
enrage,"vt. 激怒, 使暴怒"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
feisty,"a. 激动的, 活跃的, 好争吵的, 坐立不安的"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
frenzy,"n. 疯狂, 狂暴, 狂怒
[医] 暴怒, 狂乱"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
[医] 炎[症]"
infuriate,"a. 狂怒的
vt. 激怒"
irascible,"a. 易怒的, 暴躁的"
irate,"a. 发怒的, 生气的"
ire,"n. 忿怒
[电] 美国无线电工程师学会"
irritable,"a. 易怒的, 急躁的
[医] 应激性的, 过敏的"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
irritation,"n. 刺激, 烦恼, 刺激物
[医] 刺激[作用], 兴奋"
livid,"a. 铁青的
[医] 青紫的"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
mope,"vi. 忧郁, 闲荡
vt. 使忧郁
n. 忧郁的人"
peeve,"v. (使)气恼, (使)焦躁, (使)忿怒
n. 麻烦的事物, 怨恨, 生气, 触怒"
peevish,"a. 易怒的, 暴躁的, 带怒气的, 撒娇的"
pettish,"a. 易怒的, 闹情绪的, 怒气冲冲的"
petulance,"n. 易怒, 坏脾气, 使性子"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
rampage,"n. 乱闹, 乱冲, 暴跳
vi. 乱闹, 狂暴"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
rile,"vt. 搅浑, 惹怒, 使焦急"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
spleen,"n. 脾脏, 坏脾气, 怨恨
[医] 脾"
sulky,"a. 生气的, 阴沉的"
tantrum,"n. 发脾气, 发怒
[医] 暴怒, 发脾气"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tempestuous,"a. 有暴风雨的, 暴乱的"
testiness,"n. 易怒, 暴躁"
testy,"a. 易怒的, 暴躁的"
ticklish,"a. 易倒的, 不稳定的, 难对付的, 怕痒的"
touchy,"a. 易怒的, 难以取悦的, 过于敏感的"
umbrage,"n. 不快, 生气, 阴影, 树荫, 怀疑等模糊感觉"
unprovoked,"a. 未受挑衅的, 无正当理由的
[法] 无正当理由的, 无缘无故的, 未受刺激的"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
waspish,"a. 如黄蜂的, 腰细的, 易怒的"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
infuriated,"v. 使大怒, 激怒( infuriate的过去式和过去分词 )"
sulk,"n. 闹情绪, 闷闷不乐
vi. 不高兴, 闷闷不乐, 不悦, 生气, 愠怒"
discompose,"vt. 使不安, 使烦乱, 使烦恼"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
flustered,"a. 慌张的; 激动不安的
v. 使慌乱, 使不安( fluster的过去式和过去分词)"
jitter,"vi. 神经过敏, 战战兢兢
[计] 跳动; 抖动"
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
prissy,"a. 谨小慎微的, 大惊小怪的, 为小事挂虑的"
qualms,n. 良心之谴责；不安
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
solicitude,"n. 焦虑, 关心, 担心, 挂念, 渴望, 担心的事情"
suspense,n. 悬疑
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
unsettling,"a. 扰乱的, 使人不安的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
deflated,a. 泄气的
dejected,"a. 沮丧的, 灰心的"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
depression,"n. 不景气, 消沉, 沮丧, 洼地
[医] 抑郁[症], 阻抑, 压低, 凹, 窝, 衰退, 俯角"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
dishearten,"vt. 使...气馁, 使...沮丧"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
dolorous,"a. 忧伤的, 悲痛的"
droop,"vi. 下垂, 消沉
vt. 使下垂
n. 低垂, 消沉"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
pensive,"a. 沉思的, 哀思的, 忧郁的"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
sullen,"a. 愠怒的, 沉闷的, 阴沉的"
despair,"n. 绝望, 失望
vi. 绝望"
dispirited,"a. 沮丧的, 意气消沉的, 没精打采的, 没有精神的, 垂头丧气的"
downcast,"降水管（锅炉）, ［锅炉］降水管"
blues,[网络] 从英语
appall,"vt. 使丧胆, 使惊骇"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
awe,"n. ☉(对神等的)敬畏；(对权势等的)畏怯
vt. 使敬畏，令人敬畏，对…充满敬畏之情；使充满畏惧，使畏怯：；使惊叹，使惊奇："
awe-inspiring,无
bugaboo,[网络] 吧啊布
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
horrendous,"a. 可怕的, 骇人的, 不得了的"
horrific,"a. 令人毛骨悚然的, 感到恐惧的"
incubus,"n. 梦淫妖, 梦魇, 沉重的负担
[医] 梦魔, 梦魇"
macabre,"a. 以死亡为主题的, 可怕的"
nightmare,梦魇
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
redoubtable,"a. 可怕的, 厉害的, 可敬的"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
stupefy,"vt. 使麻醉, 使失去知觉, 使惊呆
[法] 使昏迷, 使失知觉, 使保若木鸡"
superstition,"n. 迷信
[法] 迷信"
trepidation,"n. 恐惧, 惊惶, 忧虑
[医] 震颤, 抖颤; 悸惧"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
apprehension,"n. 理解, 忧惧, 逮捕
[医] 领会"
