accustom,vt. 使习惯于
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
[医] 节律"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmical,"a. 有韵律的, 有节奏的
[医] 节律的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
romanticism,"n. 浪漫主义精神, 浪漫主义"
satirise,"vt. 讽刺, 讥刺, 用讽刺文抨击, 讽刺地描绘
vi. 写讽刺文, 讲讽刺话"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
satirist,"n. 讽刺作者, 爱挖苦的人"
saying,"(say- 的现在分词) vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵

n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊"
scepticism,"n. 怀疑论, 怀疑主义
[医] 多疑癖"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
[计] 手写体, 小型程序"
scriptwriter,n. 编剧；电影剧本作者
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
[计] 滚动"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
sculptor,n. 雕刻家
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
[计] 连续的; 串行的"
simile,"n. 明喻, 明喻说法"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
statue,"vt. 以雕像装饰
n. 雕像"
subtitle,n. 副标题
suffix,"n. 后缀, 下标
vt. 添后缀
[计] 后缀"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
[经] 未定, 暂记"
syllable,"n. 音节
vt. 分成音节
[计] 字节"
symphony,"n. 交响乐, 交响曲"
symphonic,"a. 交响乐的, 交响性的, 和声的"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
trio,n. 三重唱
trombone,"n. 长号
[电] 伸缩喇叭"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
version,"n. 一种描述, 版本, 译文
[计] 版本"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
[计] 卷"
watercolor,"n. 水彩画,水彩,水彩画技艺"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
writer,"n. 作家, 撰稿者, 抄写员
[化] 记录器"
writing,"n. 书写, 著作, 笔迹, 作品
[医] 书写"
baptize,"vt. 施洗礼, 使经受考验, 命名"
belief,"n. 信念, 相信, 信仰"
bless,"vt. 祝福, 祈佑, 使神圣化"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
convention,n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
[计] 转换"
creed,"n. 宗教信条, 教义, 纲领"
doctrine,"n. 教条, 学说
[医] 学说"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
ethnic,"a. 人种的, 种族的
[医] 人种的"
fidelity,"n. 忠诚；忠实；忠贞；（对丈夫、妻子或性伴侣的）忠贞
[网络] 富达；保真度；富达投资"
foretell,"vt. 预言, 预告, 预示"
hereditary,"a. 世袭的, 遗传的
[医] 遗传的"
heritage,"n. 遗产, 祖先遗留物, 继承物
[医] 遗传性"
holy,"adj. 圣洁的，神圣的；至善的
n. 神圣的东西
（俚）太棒了
n. (Holy)人名；(英、德、匈)霍利"
humanity,"n. 人性, 人类, 博爱"
knit,"v. 编织, 结合"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
legacy,"n. 祖先传下来之物, 遗赠物
[经] 遗产, 遗赠物"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
immemorial,"a. 太古的, 远古的, 无法追忆的
[法] 无法追溯的, 无法记忆的, 太古的"
origin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
[计] 发自"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
[法] 迫害, 虐待, 烦扰"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
rarely,"adv. 很少地, 罕有地"
reside,"vt. 住，居住；属于
n. (Reside)人名；(英)雷赛德"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
rural,"a. 乡下的, 田园的, 乡村风味的
[法] 农村的, 乡村的, 有关农业的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
scattered,"a. 分散的, 散乱的
[计] 分散的"
selection,"n. 选择, 选文, 精选品
[医] 选择, 淘汰"
selective,"a. 选择的, 选择性的
[经] 选择的, 选择性的"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
superstition,"n. 迷信
[法] 迷信"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
[法] 镇压, 平定, 禁止出版"
symbolise,"vt. 象征, 代表, 作为...的象征
vt.vi. 用符号表示, 使用符号"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
unconditional,"a. 无条件的, 无限制的, 绝对的
[经] 无条件的, 无保留的"
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
virtue,"n. 德行, 美德, 优点, 功效, 效力
[法] 美德, 贞操, 优点"
altar,"n. 圣坛, 祭坛"
ancestor,"n. 祖先, 祖宗"
ancestral,"a. 祖先的, 祖传的
[法] 祖先的, 祖传的"
ancestry,"n. 祖先, 世系, 名门出身"
anecdote,"n. 轶事, 奇闻"
anniversary,n. 周年纪念
archbishop,n. 大主教
arena,"n. 舞台；竞技场
n. (Arena)人名；(英)阿里纳；(意、西、葡、德)阿雷纳"
baptism,"n. 浸礼, 洗礼"
barbarian,"n. 野蛮人
a. 野蛮的"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
burial,"n. 埋葬, 葬礼
[法] 埋葬, 葬礼"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
cemetery,"n. 墓地, 公墓
[法] 公墓, 墓地"
christ,"n. 基督, 救世主"
churchyard,"n. 教堂墓地, 教堂庭院"
clan,"n. 氏族, 宗族, 集团
[医] 支"
clergy,"n. 牧师, 僧侣, 神职人员"
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
commandment,n. 戒律
concubine,"n. 妾, 姘妇
[法] 妾, 姘妇, 情妇"
conventional,"a. 传统的, 习惯的, 约定的
[经] 惯例的, 常规的, 传统的"
cowboy,n. 牛仔；牧童；莽撞的人
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
customary,"a. 习惯的, 惯常的
[经] 通常的, 习惯的"
descent,"n. 降落, 家系, 侵袭, 血统
[医] 下降, 世代, 血统"
destiny,"n. 命运, 定数"
dialect,"n. 方言, 同源语"
disciple,"n. 弟子, 门徒"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
earthly,"a. 地球的, 俗世的, 可能的"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
engrave,"vt. 刻上, 雕刻, 铭记"
eve,"n. 前夕, 前夜"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
fate,"n. 命运, 运气
vt. 注定"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
handicraft,"n. 手工艺, 手艺
[经] 手工业, 手工"
heathen,"n. 异教徒, 异族人, 粗野的人
a. 异教的, 野蛮的"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）
n. (Hell)人名；(柬)海；(西)埃利；(德、匈、捷、罗、芬、瑞典)黑尔"
hermit,"n. 隐士, 隐居者"
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
institutional,"a. 制度的, 公共机构的, 学会的
[法] 组织机构的, 制度的, 公共机构的"
lunar,"a. 阴历的, 月的, 微亮的(指光)
[医] 月的, 银的"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
monastery,"n. 修道院, 僧侣"
monk,"n. 修道士, 僧侣, 和尚"
orthodox,"a. 正统的, 传统的, 惯常的"
paradise,"n. 天堂, 乐园, 伊甸园"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
pray,"v. 祈祷, 恳求, 请"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
prophet,"n. 预言者, 先知, 提倡者"
puritan,"n. 清教徒
a. 清教徒的"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
racecourse,"n. 赛马场, 水道, 跑道"
racing,"n. 赛马, 赛车
[机] 空转, 急转"
ranch,"n. 大牧场
v. 经营牧场"
religion,"n. 宗教, 信仰
[法] 宗教, 宗教信仰, 信仰"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
[经] 特许权, 使用费, 使用税"
saint,"n. 圣徒, 圣人
a. 神圣的
[计] 自动积分程序符号"
salvation,"n. 拯救, 救助, 救世"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
sin,"n. 罪恶；罪孽；过失
vi. 犯罪；犯过失
vt. 犯罪
n. (Sin)人名；(罗)西恩；(匈)欣；(柬、阿拉伯)辛；(缅)信"
supernatural,"a. 超自然的, 神奇的
[医] 超自然的"
superstitious,"a. 迷信的
[法] 迷信的, 由迷信引起的"
symbol,"n. 符号, 象征, 代号, 信条
[计] 符号; 码元"
symbolic,"a. 象征的, 符号的
[电] 符号化"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
symbolism,"n. 象征主义, 符号论
[医] 象征主义"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
tattoo,"n. 归营号, 连续有节奏的敲击, 文身, 矮种马
vt. 连续有节奏地敲, 刺花纹于
vi. 作连续有节奏的敲击"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
[医] 颞颥, 颞部"
theology,n. 神学
theologian,n. 神学者
tradition,"n. 传说, 传统, 交付
[法] 传统, 惯例, 移交"
traditional,"a. 传统的, 惯例的
[经] 传统的, 惯例的"
traditionally,adv. 传统上；传说上；习惯上
tribal,"a. 部落的, 宗族的"
tribute,"n. 贡物, 礼物, 颂辞"
trinity,"n. 三人一组, 三个一组的东西, 三位一体"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
[经] 使用情况, 使用用途, 惯例"
victim,"n. 受害人, 牺牲者, 牺牲品
[法] 受害人, 被害人, 遭难者"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
witchcraft,"n. 巫术, 魔法, 魔力"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
arise,"vi. 站立, 出现, 起来"
basis,abbr. bibliographic author of subject interactive researches 通过文献作者进行主题交互查索
blast," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
[法] 宽大, 宽恕, 慈善机关"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
[法] 慈善的, 慷慨的, 宽恕的"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
[计] 编年的, 按年月日顺序的"
coincide,"vi. 一致, 符合
[化] 重合"
conscience,"n. 良心
[法] 良心, 道德感, 正义感"
derive,"vt. 得自
vi. 起源"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
destined,"a. 预定的, 注定的, 命定的"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
emigrate,"v. (使)移居, (使)移民"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
enduring,"a. 持久的, 忍耐的"
facilitate,"vt. 使容易, 促进, 帮助
[法] 使容易, 使便利, 推进"
foresee,"vt. 预见, 预知"
genuine,"a. 真正的, 真实的, 诚恳的
[医] 真性的"
genuinely,adv. 真诚地；诚实地
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
[法] 重大的, 主要的, 伟大的"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
hinder,"a. 后面的
v. 阻碍, 打扰"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hostility,"n. 敌意, 敌对, 反对"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
[医] 强的"
intensely,adv. 强烈地; 极度; 剧烈地
liberate,"vt. 解放, 释放, 使自由
[机] 释出, 放出"
migrate,"vi. 移动, 移往, 随季节而移居
[计] 迁移程序"
migration,"n. 移民, 移往, 移动
[计] 迁移"
milestone,"n. 里程碑, 里程石, 里程标"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
oppress,"vt. 压迫, 压抑, 使烦恼"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
[计] 图元; 原语; 基元"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
[医] 退缩"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
remains,"n. 剩余物, 废墟, 残余
[法] 遗体, 尸体, 遗骸"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
[计] 还原; DOS外部命令:从备份盘中取回文件"
restorative,"a. 恢复健康的, 滋补的
n. 兴奋药, 补药"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
reversal,"n. 翻转, 颠倒, 反转
[医] 逆转, 颠倒"
reversely,"adv. 相对地, 反对地"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
[计] 顺序"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
[医] 居住区; 沉渣"
situate,"vt. 使位于, 使处于"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
sovereignty,"n. 主权, 独立国
[法] 主权, 主权国家, 统治权"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
subsequent,"a. 后来的, 接下去的
[经] 后来的"
subsequently,"adv. 后来, 随后"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
treaty,"n. 条约, 谈判
[经] 协议, 协定, 协商"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
[计] 切换开关"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
[法] 暗中破坏, 以阴谋中伤伤害"
unify,"v. 统一, 使成一体"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
[医] 戒除, 脱瘾"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
annals,"n. 编年史, 活动年报, 历史"
antiquity,"n. 古老, 古代, 古代人, 古物"
archaeologist,n. 考古学家
archaeology,[古] 考古学
bandit,n. 强盗
battlefield,"n. 战场, 沙场"
beacon,"n. 灯塔；（导航）无线电信标台；（旧时）烽火
v. 像灯塔般照耀；照亮；鼓励；为…装设指向标
[网络] 探测器"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
bondage,"n. 奴役, 束缚
[法] 束缚, 监禁, 奴隶"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑
n. (Bronze)人名；(葡)布龙泽"
cannon,"n. 大炮, 加农炮
v. 炮轰"
cavalry,n. 骑兵
chariot,n. 二轮战车
colonial,"a. 殖民的, 殖民地的
[法] 殖民地居民"
conquest,"n. 战胜, 征服, 战利品
[法] 征服, 赢得, 获得"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
cornerstone,"[法] 基础, 基石, 要件"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
dagger,"n. 匕首
vt. 用剑刺"
decade,"n. 十年, 十"
defence,"n. 防卫, 防卫设备
[经] (诉讼程序中的)辩护"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
despot,"n. 专制君主, 暴君
[法] 暴君, 专制君主"
duel,"n. 决斗, 斗争
vi. 决斗"
dynasty,"n. 朝代, 王朝"
epoch,"n. 新纪元, 时代, 时期"
epoch-making,"adj. 开新纪元的
[网络] 划时代的；划时代意义；开天辟地"
era,"ERA
abbr.
earned run average
Economic Regulatory Administration (美国)经济管理局
Electrical Research Association (英国)电气研究协会
electron ring accelerator 【核子学】电子环加速器
Emergency Relief Administration (美国)紧急救济署
Equal Rights Amend-ment
era
['iərə; 'εərə]
n.
纪元
(标志新的重要历史阶段开端的) 重大事件(或重要日子)
(某一重大历史事件后的)年代；阶段
时代；历史时期
【地质学】代[亦见epoch, period, age]
近义词:
period
短语:
carpet-bag era
【美国历史】北方人到南方投机谋利时期(1861～1865年美国南北战争后重建时期，北方投机家只拎一只毯制旅行手提包到南方各州去投机，故称)
era of good feeling
ᰀ(1817～1825年门罗当美国总统的)善意的时代"
erase,"vt. 抹去, 擦掉
[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
[医] 进化, 演化, 旋出"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
[计] 进化的, 改良的, 发展的"
evolutionist,n. 进化论者
expanse,"n. 宽阔区域, 宽阔, 天空"
expansion,"n. 扩充, 开展, 膨胀
[计] 扩展"
famine,"n. 饥荒, 缺乏, 饥饿"
far-reaching,"adj. 深远的；广泛的
[网络] 影响深远的"
fatalism,n. 宿命论
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
gunpowder,"n. 火药
[化] 有烟火药; 火药"
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
[法] 历史性的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialism,"n. 帝国主义, 帝制
[法] 帝国主义"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
landowner,"n. 地主
[法] 土地所有人, 地主"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
medieval,"a. 中古的, 中世纪的"
millennium,"n. 千禧年, 一千年"
monarch,"n. 帝王, 统治者, 元首
[医] 单原型(植)"
monument,"n. 纪念碑, 纪念物, 石碑"
nobility,"n. 贵族, 高尚, 贵族阶级"
persian,"n. 波斯人, 波斯语"
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
prehistoric,[网络] 史前时代；相多史前；史前史
prehistorically,adv. 史前地
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主；王妃；女巨头
n. (Princess)人名；(英)普琳西丝；"
puppet,"n. 傀儡, 木偶
[法] 木偶, 傀儡, 受他人操纵的人"
realm,"n. 王国, 领土, 领域
[计] 领域"
rebirth,[网络] 重生；蕾葆丝；蕾葆丝绵羊油
rebuild,"vt. 重建；改造, 重新组装；复原
vi. 重建"
reconstruct,"vt. 重建, 改造
[化] 按原样修复"
redevelopment,n. 再开发；重点恢复
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
[经] 更新, 换新, 重申"
renovation,"n. 革新, 刷新, 修理
[化] 改建"
representation,"n. 表示法, 表现, 陈述, 代表
[计] 表示法指定"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
restoration,"n. 恢复, 归还, 复位
[医] 恢复, 康复, 复位, 回复, 修复"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
[医] 复苏, 回生, 精神重振"
revivify,"v. (使)再生, (使)复活, (使)振奋精神"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
showdown,"v. 翻底牌
[网络] 摊牌；最后摊牌；摊开手中的二张牌"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
solidarity,"n. 团结, 团结一致, 共同一致
[法] 团结, 共同责任"
solitude,"n. 孤独, 单独, 孤寂"
strife,"n. 争吵, 竞争, 冲突"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tactical,"a. 战术的, 用兵上的, 策略的"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
entrenched,"a. 牢固的, 根深蒂固的"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
unrest,"n. 不安的状态, 动荡的局面
[医] 不安"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
victorious,"a. 胜利的, 得胜的, 战胜的"
victory,"n. 胜利, 战胜, 克服"
win,"v. 赢；获得；（尤指通过自己的努力）取得
n. （在比赛、竞赛等中的）胜利
[网络] 获胜v；上链类玩具；打打下就"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序"
arid,"a. 干燥的, 不毛的"
atmosphere,"n. 大气, 空气, 气氛
[医] 大气; 大气压"
atmospheric,"a. 大气的
[医] 大气的; 大气压的"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
[计] 闪烁"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
brink,"n. 边缘, 陡岸"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
catastrophe,"n. 大灾难, 大祸
[化] 突变"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chill,"n. 寒冷；寒意；受寒；凉意
v. 使很冷；使冰冷；（使）冷却；（被）冷藏
adj. 寒冷的；冷飕飕的；阴冷的
[网络] 使变冷；寒战；使寒冷"
choke,"n. 窒息；哽噎；（车辆发动机的）进气门；哽噎声
v. 阻塞；哽噎；使窒息；（尤指感情激动而）说不出话来
[网络] 扼流圈；阻风门；噎住"
circumstance,"n. 环境, 状况, 事件"
climate,"n. 气候, 社会趋势, 气候区
[医] 气候"
climatic,a. 气候的
cluster,"n. 群集；簇；组；挂
v. 集中；簇拥；(使)成群；(使)群集
[网络] 聚集"
supercluster,[网络] 超级星团；超级星系团；超级基站群
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
[化] 污染"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
[计] 当前的"
currently,"adv. 现在, 当前, 一般, 普通
[计] 当前"
currency,"n. 货币, 通货, 流通, 通用
[计] 货币, 货币型"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
desolate,a. 荒凉的
deteriorate,v. (使)恶化
